Percentage served,Time in ms
0,107.112
1,112.199
2,117.357
3,126.051
4,131.044
5,135.847
6,140.879
7,145.766
8,150.591
9,155.409
10,160.415
11,165.175
12,170.247
13,175.252
14,180.202
15,185.317
16,190.414
17,196.364
18,201.880
19,204.262
20,206.104
21,208.289
22,213.517
23,215.975
24,216.521
25,216.615
26,216.731
27,216.920
28,217.116
29,217.206
30,217.365
31,217.615
32,217.716
33,217.973
34,218.062
35,218.125
36,218.223
37,218.337
38,218.439
39,218.726
40,218.983
41,219.151
42,219.397
43,219.487
44,219.656
45,219.810
46,219.927
47,220.050
48,220.259
49,220.659
50,221.308
51,221.769
52,221.907
53,221.957
54,222.021
55,222.222
56,222.329
57,222.420
58,222.541
59,222.777
60,223.065
61,223.390
62,224.291
63,224.833
64,225.237
65,225.352
66,225.428
67,225.477
68,225.876
69,226.087
70,226.155
71,226.182
72,226.211
73,226.254
74,226.300
75,226.370
76,226.410
77,226.527
78,226.714
79,226.921
80,227.034
81,227.139
82,227.208
83,227.354
84,227.426
85,227.523
86,227.637
87,227.902
88,413.537
89,418.457
90,490.725
91,551.538
92,582.761
93,844.364
94,855.781
95,863.523
96,870.713
97,878.522
98,891.672
99,901.265
100,965.819
