starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:50:30 2024	1717685430	17	90	107	90
Thu Jun 06 14:50:30 2024	1717685430	17	90	107	90
Thu Jun 06 14:50:30 2024	1717685430	17	90	107	90
Thu Jun 06 14:50:30 2024	1717685430	17	90	108	90
Thu Jun 06 14:50:30 2024	1717685430	17	91	108	91
Thu Jun 06 14:50:30 2024	1717685430	17	91	108	91
Thu Jun 06 14:50:30 2024	1717685430	17	91	108	91
Thu Jun 06 14:50:30 2024	1717685430	17	91	108	91
Thu Jun 06 14:50:30 2024	1717685430	18	91	109	91
Thu Jun 06 14:50:30 2024	1717685430	18	91	109	91
Thu Jun 06 14:50:30 2024	1717685430	18	91	109	91
Thu Jun 06 14:50:30 2024	1717685430	18	92	109	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	109	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	110	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	110	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	110	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	110	92
Thu Jun 06 14:50:30 2024	1717685430	18	92	111	92
Thu Jun 06 14:50:30 2024	1717685430	18	93	111	93
Thu Jun 06 14:50:30 2024	1717685430	18	93	111	93
Thu Jun 06 14:50:30 2024	1717685430	18	93	111	93
Thu Jun 06 14:50:30 2024	1717685430	18	93	111	93
Thu Jun 06 14:50:30 2024	1717685430	18	93	112	93
Thu Jun 06 14:50:30 2024	1717685430	19	93	112	93
Thu Jun 06 14:50:30 2024	1717685430	19	93	112	93
Thu Jun 06 14:50:30 2024	1717685430	19	94	112	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	112	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	113	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	113	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	113	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	113	94
Thu Jun 06 14:50:30 2024	1717685430	19	94	113	94
Thu Jun 06 14:50:30 2024	1717685430	19	95	114	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	114	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	114	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	114	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	114	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	115	95
Thu Jun 06 14:50:30 2024	1717685430	19	95	115	95
Thu Jun 06 14:50:30 2024	1717685430	20	96	115	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	115	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	116	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	116	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	116	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	116	96
Thu Jun 06 14:50:30 2024	1717685430	20	96	116	96
Thu Jun 06 14:50:30 2024	1717685430	20	97	117	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	117	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	117	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	117	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	117	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	118	97
Thu Jun 06 14:50:30 2024	1717685430	20	97	118	97
Thu Jun 06 14:50:30 2024	1717685430	20	98	118	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	118	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	118	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	119	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	119	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	119	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	119	98
Thu Jun 06 14:50:30 2024	1717685430	21	98	119	98
Thu Jun 06 14:50:30 2024	1717685430	21	99	120	99
Thu Jun 06 14:50:30 2024	1717685430	21	99	120	99
Thu Jun 06 14:50:30 2024	1717685430	21	99	120	99
Thu Jun 06 14:50:30 2024	1717685430	21	99	120	99
Thu Jun 06 14:50:30 2024	1717685430	21	99	120	99
Thu Jun 06 14:50:30 2024	1717685430	21	99	121	99
Thu Jun 06 14:50:30 2024	1717685430	21	100	121	100
Thu Jun 06 14:50:30 2024	1717685430	21	100	121	100
Thu Jun 06 14:50:30 2024	1717685430	22	100	121	100
Thu Jun 06 14:50:30 2024	1717685430	22	100	122	100
Thu Jun 06 14:50:30 2024	1717685430	22	100	122	100
Thu Jun 06 14:50:30 2024	1717685430	22	100	122	100
Thu Jun 06 14:50:30 2024	1717685430	22	100	122	100
Thu Jun 06 14:50:30 2024	1717685430	22	101	122	101
Thu Jun 06 14:50:30 2024	1717685430	22	104	126	104
Thu Jun 06 14:50:30 2024	1717685430	22	104	126	104
Thu Jun 06 14:50:30 2024	1717685430	22	104	126	104
Thu Jun 06 14:50:30 2024	1717685430	22	104	127	104
Thu Jun 06 14:50:30 2024	1717685430	22	105	127	105
Thu Jun 06 14:50:30 2024	1717685430	22	105	127	105
Thu Jun 06 14:50:30 2024	1717685430	22	105	127	105
Thu Jun 06 14:50:30 2024	1717685430	22	105	127	105
Thu Jun 06 14:50:30 2024	1717685430	23	105	128	105
Thu Jun 06 14:50:30 2024	1717685430	23	105	128	105
Thu Jun 06 14:50:30 2024	1717685430	23	105	128	105
Thu Jun 06 14:50:30 2024	1717685430	23	106	128	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	128	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	129	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	129	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	129	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	129	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	129	106
Thu Jun 06 14:50:30 2024	1717685430	23	106	130	106
Thu Jun 06 14:50:30 2024	1717685430	23	107	130	107
Thu Jun 06 14:50:30 2024	1717685430	23	107	130	107
Thu Jun 06 14:50:30 2024	1717685430	23	107	130	107
Thu Jun 06 14:50:30 2024	1717685430	24	107	130	107
Thu Jun 06 14:50:30 2024	1717685430	24	107	131	107
Thu Jun 06 14:50:30 2024	1717685430	24	107	131	107
Thu Jun 06 14:50:30 2024	1717685430	24	107	131	107
Thu Jun 06 14:50:30 2024	1717685430	24	107	131	107
Thu Jun 06 14:50:30 2024	1717685430	24	108	131	108
Thu Jun 06 14:50:30 2024	1717685430	24	108	132	108
Thu Jun 06 14:50:30 2024	1717685430	24	108	132	108
Thu Jun 06 14:50:30 2024	1717685430	25	107	132	107
Thu Jun 06 14:50:30 2024	1717685430	25	107	132	107
Thu Jun 06 14:50:30 2024	1717685430	25	108	132	107
Thu Jun 06 14:50:30 2024	1717685430	25	108	133	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	133	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	133	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	133	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	133	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	134	108
Thu Jun 06 14:50:30 2024	1717685430	25	108	134	108
Thu Jun 06 14:50:30 2024	1717685430	25	109	134	109
Thu Jun 06 14:50:30 2024	1717685430	26	109	134	109
Thu Jun 06 14:50:30 2024	1717685430	26	108	134	108
Thu Jun 06 14:50:30 2024	1717685430	27	108	134	108
Thu Jun 06 14:50:30 2024	1717685430	27	108	135	108
Thu Jun 06 14:50:30 2024	1717685430	27	108	135	108
Thu Jun 06 14:50:30 2024	1717685430	27	108	135	108
Thu Jun 06 14:50:30 2024	1717685430	27	108	135	108
Thu Jun 06 14:50:30 2024	1717685430	27	109	135	109
Thu Jun 06 14:50:30 2024	1717685430	27	109	136	109
Thu Jun 06 14:50:30 2024	1717685430	28	108	136	108
Thu Jun 06 14:50:30 2024	1717685430	28	108	136	108
Thu Jun 06 14:50:30 2024	1717685430	28	108	136	108
Thu Jun 06 14:50:30 2024	1717685430	28	109	136	108
Thu Jun 06 14:50:30 2024	1717685430	28	109	137	109
Thu Jun 06 14:50:30 2024	1717685430	28	109	137	109
Thu Jun 06 14:50:30 2024	1717685430	28	109	137	109
Thu Jun 06 14:50:30 2024	1717685430	28	109	137	109
Thu Jun 06 14:50:30 2024	1717685430	29	108	137	108
Thu Jun 06 14:50:30 2024	1717685430	29	109	138	109
Thu Jun 06 14:50:30 2024	1717685430	29	109	138	109
Thu Jun 06 14:50:30 2024	1717685430	29	109	138	109
Thu Jun 06 14:50:30 2024	1717685430	29	109	138	109
Thu Jun 06 14:50:30 2024	1717685430	29	109	139	109
Thu Jun 06 14:50:30 2024	1717685430	29	109	139	109
Thu Jun 06 14:50:30 2024	1717685430	30	109	139	109
Thu Jun 06 14:50:30 2024	1717685430	30	109	139	109
Thu Jun 06 14:50:30 2024	1717685430	30	109	139	109
Thu Jun 06 14:50:30 2024	1717685430	30	109	140	109
Thu Jun 06 14:50:30 2024	1717685430	30	109	140	109
Thu Jun 06 14:50:30 2024	1717685430	31	109	140	109
Thu Jun 06 14:50:30 2024	1717685430	31	110	140	110
Thu Jun 06 14:50:30 2024	1717685430	31	110	140	110
Thu Jun 06 14:50:30 2024	1717685430	31	109	140	109
Thu Jun 06 14:50:30 2024	1717685430	31	109	141	109
Thu Jun 06 14:50:30 2024	1717685430	32	109	141	109
Thu Jun 06 14:50:30 2024	1717685430	32	109	141	109
Thu Jun 06 14:50:30 2024	1717685430	32	110	141	110
Thu Jun 06 14:50:30 2024	1717685430	32	110	141	110
Thu Jun 06 14:50:30 2024	1717685430	32	110	142	110
Thu Jun 06 14:50:30 2024	1717685430	32	110	142	110
Thu Jun 06 14:50:30 2024	1717685430	33	109	142	109
Thu Jun 06 14:50:30 2024	1717685430	33	109	142	109
Thu Jun 06 14:50:30 2024	1717685430	33	110	142	110
Thu Jun 06 14:50:30 2024	1717685430	33	110	143	110
Thu Jun 06 14:50:30 2024	1717685430	33	110	143	110
Thu Jun 06 14:50:30 2024	1717685430	33	110	143	110
Thu Jun 06 14:50:30 2024	1717685430	33	110	143	110
Thu Jun 06 14:50:30 2024	1717685430	33	110	143	110
Thu Jun 06 14:50:30 2024	1717685430	34	109	144	109
Thu Jun 06 14:50:30 2024	1717685430	34	109	144	109
