Percentage served,Time in ms
0,11.181
1,11.755
2,17.569
3,24.945
4,33.858
5,44.077
6,56.451
7,69.292
8,75.464
9,78.627
10,82.194
11,85.630
12,89.543
13,93.122
14,96.196
15,99.709
16,103.106
17,106.783
18,110.150
19,113.467
20,116.999
21,120.342
22,123.964
23,125.740
24,127.323
25,129.816
26,132.308
27,133.568
28,134.422
29,135.141
30,135.974
31,136.178
32,136.361
33,136.424
34,136.494
35,136.605
36,136.641
37,136.679
38,136.723
39,136.757
40,136.824
41,136.874
42,136.976
43,137.033
44,137.155
45,137.221
46,137.266
47,137.322
48,137.390
49,137.483
50,137.597
51,137.784
52,137.839
53,137.917
54,138.042
55,138.280
56,138.424
57,138.776
58,139.329
59,139.537
60,139.732
61,139.886
62,139.951
63,140.075
64,141.243
65,141.414
66,141.629
67,141.699
68,141.776
69,141.875
70,142.097
71,142.270
72,142.431
73,142.495
74,142.566
75,142.621
76,142.658
77,142.676
78,142.712
79,142.749
80,142.763
81,142.799
82,142.870
83,142.945
84,143.071
85,143.208
86,143.405
87,143.781
88,146.189
89,149.218
90,302.256
91,303.823
92,323.788
93,325.449
94,345.804
95,401.305
96,421.557
97,632.317
98,648.277
99,649.343
100,650.346
