Percentage served,Time in ms
0,191.183
1,203.341
2,214.924
3,227.004
4,239.040
5,250.865
6,262.544
7,274.444
8,286.376
9,297.981
10,309.915
11,321.791
12,333.683
13,345.954
14,358.101
15,369.565
16,381.605
17,394.267
18,407.097
19,419.102
20,463.868
21,465.569
22,466.422
23,467.060
24,468.154
25,469.299
26,469.901
27,470.207
28,470.499
29,470.755
30,471.153
31,471.439
32,471.732
33,472.260
34,472.784
35,473.240
36,473.806
37,475.022
38,476.107
39,477.169
40,477.656
41,478.782
42,480.078
43,481.393
44,482.597
45,483.353
46,484.683
47,485.709
48,486.568
49,487.394
50,487.913
51,488.047
52,488.334
53,488.415
54,488.514
55,488.613
56,488.681
57,488.841
58,489.015
59,489.174
60,489.317
61,489.662
62,489.819
63,490.126
64,490.769
65,491.296
66,491.905
67,492.236
68,492.777
69,493.013
70,493.357
71,493.677
72,494.105
73,494.376
74,494.677
75,494.988
76,507.315
77,593.017
78,627.346
79,712.920
80,742.965
81,772.406
82,967.902
83,996.288
84,1010.683
85,1033.311
86,1053.434
87,1071.496
88,1087.922
89,1103.192
90,1136.220
91,1174.388
92,1180.925
93,1184.851
94,1189.726
95,1192.100
96,1342.020
97,1491.027
98,1665.863
99,1728.646
100,2339.951
