starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:50:09 2024	1717685409	23	192	215	192
Thu Jun 06 14:50:09 2024	1717685409	23	192	215	192
Thu Jun 06 14:50:09 2024	1717685409	23	193	216	193
Thu Jun 06 14:50:09 2024	1717685409	23	193	216	193
Thu Jun 06 14:50:09 2024	1717685409	23	194	217	194
Thu Jun 06 14:50:09 2024	1717685409	23	194	217	194
Thu Jun 06 14:50:09 2024	1717685409	23	195	218	195
Thu Jun 06 14:50:09 2024	1717685409	23	195	218	195
Thu Jun 06 14:50:09 2024	1717685409	24	195	219	195
Thu Jun 06 14:50:09 2024	1717685409	24	196	219	196
Thu Jun 06 14:50:09 2024	1717685409	24	196	220	196
Thu Jun 06 14:50:09 2024	1717685409	24	197	220	197
Thu Jun 06 14:50:09 2024	1717685409	24	197	221	197
Thu Jun 06 14:50:09 2024	1717685409	24	197	221	197
Thu Jun 06 14:50:09 2024	1717685409	24	198	222	198
Thu Jun 06 14:50:09 2024	1717685409	24	198	222	198
Thu Jun 06 14:50:09 2024	1717685409	24	199	223	199
Thu Jun 06 14:50:09 2024	1717685409	24	199	224	199
Thu Jun 06 14:50:09 2024	1717685409	25	199	224	199
Thu Jun 06 14:50:09 2024	1717685409	25	200	225	200
Thu Jun 06 14:50:09 2024	1717685409	25	200	225	200
Thu Jun 06 14:50:09 2024	1717685409	25	201	226	201
Thu Jun 06 14:50:09 2024	1717685409	25	201	226	201
Thu Jun 06 14:50:09 2024	1717685409	25	202	227	202
Thu Jun 06 14:50:09 2024	1717685409	25	202	227	202
Thu Jun 06 14:50:09 2024	1717685409	25	202	228	202
Thu Jun 06 14:50:09 2024	1717685409	25	203	228	203
Thu Jun 06 14:50:09 2024	1717685409	25	203	229	203
Thu Jun 06 14:50:09 2024	1717685409	26	204	229	204
Thu Jun 06 14:50:09 2024	1717685409	26	204	230	204
Thu Jun 06 14:50:09 2024	1717685409	26	205	230	205
Thu Jun 06 14:50:09 2024	1717685409	26	205	231	205
Thu Jun 06 14:50:09 2024	1717685409	26	206	232	206
Thu Jun 06 14:50:09 2024	1717685409	26	206	232	206
Thu Jun 06 14:50:09 2024	1717685409	26	207	233	207
Thu Jun 06 14:50:09 2024	1717685409	26	207	234	207
Thu Jun 06 14:50:09 2024	1717685409	26	208	234	208
Thu Jun 06 14:50:09 2024	1717685409	27	208	235	208
Thu Jun 06 14:50:09 2024	1717685409	27	208	235	208
Thu Jun 06 14:50:09 2024	1717685409	27	209	236	209
Thu Jun 06 14:50:09 2024	1717685409	27	209	236	209
Thu Jun 06 14:50:09 2024	1717685409	27	210	237	210
Thu Jun 06 14:50:09 2024	1717685409	27	210	237	210
Thu Jun 06 14:50:09 2024	1717685409	27	211	238	211
Thu Jun 06 14:50:09 2024	1717685409	27	211	238	211
Thu Jun 06 14:50:09 2024	1717685409	27	211	239	211
