Percentage served,Time in ms
0,10.677
1,44.300
2,44.762
3,56.250
4,56.895
5,56.976
6,57.396
7,57.590
8,59.201
9,59.926
10,60.488
11,61.321
12,62.157
13,62.374
14,62.853
15,66.349
16,66.857
17,69.288
18,69.438
19,69.582
20,74.958
21,75.319
22,75.592
23,81.126
24,82.166
25,82.884
26,83.687
27,84.747
28,86.538
29,89.624
30,89.735
31,96.702
32,98.329
33,98.534
34,100.341
35,101.492
36,101.911
37,102.011
38,102.264
39,102.873
40,103.309
41,103.408
42,103.988
43,104.374
44,105.097
45,105.262
46,105.579
47,105.961
48,106.320
49,106.518
50,108.389
51,111.257
52,111.869
53,112.470
54,115.181
55,115.482
56,115.683
57,125.644
58,126.933
59,127.991
60,130.128
61,131.341
62,132.541
63,132.963
64,133.259
65,133.426
66,134.491
67,136.484
68,137.347
69,140.724
70,141.423
71,141.877
72,142.203
73,143.108
74,143.947
75,144.459
76,145.188
77,145.995
78,146.248
79,146.440
80,146.828
81,147.401
82,148.250
83,148.852
84,149.297
85,149.825
86,150.066
87,150.138
88,150.502
89,151.554
90,152.490
91,153.598
92,154.739
93,155.706
94,156.754
95,165.808
96,168.495
97,174.278
98,295.827
99,297.495
100,318.013
