starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:50:44 2024	1717685444	0	11	12	0
Thu Jun 06 14:50:44 2024	1717685444	25	20	45	20
Thu Jun 06 14:50:44 2024	1717685444	26	20	46	20
Thu Jun 06 14:50:44 2024	1717685444	26	20	46	20
Thu Jun 06 14:50:44 2024	1717685444	26	20	46	20
Thu Jun 06 14:50:44 2024	1717685444	25	20	46	20
Thu Jun 06 14:50:44 2024	1717685444	25	21	46	21
Thu Jun 06 14:50:44 2024	1717685444	25	21	46	21
Thu Jun 06 14:50:44 2024	1717685444	25	21	46	21
Thu Jun 06 14:50:44 2024	1717685444	35	16	52	16
Thu Jun 06 14:50:44 2024	1717685444	31	22	53	22
Thu Jun 06 14:50:44 2024	1717685444	31	22	53	22
Thu Jun 06 14:50:44 2024	1717685444	31	22	53	22
Thu Jun 06 14:50:44 2024	1717685444	25	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	31	22	53	22
Thu Jun 06 14:50:44 2024	1717685444	25	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	25	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	25	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	25	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	53	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	54	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	54	28
Thu Jun 06 14:50:44 2024	1717685444	26	28	54	28
Thu Jun 06 14:50:44 2024	1717685444	28	26	54	26
Thu Jun 06 14:50:44 2024	1717685444	25	33	58	33
Thu Jun 06 14:50:44 2024	1717685444	25	33	58	33
Thu Jun 06 14:50:44 2024	1717685444	26	33	58	33
Thu Jun 06 14:50:44 2024	1717685444	26	33	58	33
Thu Jun 06 14:50:44 2024	1717685444	26	33	58	33
Thu Jun 06 14:50:44 2024	1717685444	26	33	59	33
Thu Jun 06 14:50:44 2024	1717685444	26	33	59	33
Thu Jun 06 14:50:44 2024	1717685444	26	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	26	33	59	33
Thu Jun 06 14:50:44 2024	1717685444	26	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	26	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	25	34	59	34
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	27	32	59	32
Thu Jun 06 14:50:44 2024	1717685444	28	32	60	32
Thu Jun 06 14:50:44 2024	1717685444	20	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	20	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	20	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	20	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	21	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	21	40	60	40
Thu Jun 06 14:50:44 2024	1717685444	21	40	60	40
