Percentage served,Time in ms
0,11.903
1,18.473
2,26.356
3,35.429
4,44.031
5,52.731
6,62.846
7,70.760
8,73.831
9,77.580
10,81.100
11,84.916
12,88.804
13,92.284
14,96.148
15,99.791
16,103.801
17,108.370
18,112.103
19,116.251
20,120.600
21,125.368
22,129.753
23,136.880
24,144.379
25,146.061
26,147.427
27,148.830
28,149.820
29,150.314
30,150.641
31,150.928
32,151.089
33,151.241
34,151.458
35,151.748
36,151.972
37,153.350
38,153.613
39,153.671
40,153.782
41,153.828
42,154.022
43,154.226
44,154.369
45,154.448
46,154.537
47,154.638
48,154.715
49,154.815
50,154.938
51,155.288
52,155.505
53,156.261
54,156.461
55,156.703
56,157.223
57,157.575
58,157.846
59,158.187
60,158.414
61,158.848
62,159.276
63,160.049
64,160.562
65,160.829
66,160.964
67,161.121
68,161.194
69,161.349
70,162.303
71,162.824
72,163.258
73,163.428
74,163.805
75,164.429
76,165.201
77,165.507
78,165.671
79,165.743
80,165.917
81,166.091
82,166.174
83,166.309
84,166.473
85,166.678
86,166.966
87,167.256
88,167.593
89,167.830
90,297.881
91,307.822
92,364.742
93,391.817
94,406.221
95,454.552
96,542.893
97,563.030
98,582.992
99,626.530
100,704.877
