Percentage served,Time in ms
0,129.691
1,146.319
2,153.674
3,160.781
4,167.821
5,174.896
6,182.145
7,189.036
8,196.155
9,203.434
10,211.142
11,218.595
12,227.920
13,235.213
14,242.512
15,250.015
16,257.554
17,265.234
18,272.777
19,280.679
20,302.797
21,307.152
22,314.594
23,321.069
24,321.676
25,322.284
26,322.640
27,322.758
28,322.832
29,322.965
30,323.287
31,323.417
32,323.452
33,323.475
34,323.517
35,323.564
36,323.585
37,323.615
38,323.645
39,323.664
40,323.720
41,323.763
42,323.814
43,323.838
44,323.865
45,323.897
46,323.932
47,323.974
48,324.028
49,324.086
50,324.170
51,324.281
52,324.407
53,324.457
54,324.690
55,324.853
56,325.154
57,325.576
58,325.877
59,326.067
60,326.738
61,328.809
62,330.675
63,332.157
64,332.745
65,332.997
66,333.657
67,335.055
68,335.710
69,337.093
70,339.035
71,339.517
72,340.052
73,340.481
74,341.164
75,342.363
76,343.546
77,345.073
78,347.201
79,348.279
80,349.436
81,395.232
82,428.162
83,444.721
84,489.490
85,547.304
86,784.303
87,836.296
88,871.241
89,885.019
90,892.811
91,904.643
92,924.238
93,935.656
94,945.370
95,953.820
96,968.531
97,987.150
98,1036.759
99,1124.848
100,1543.894
