starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:51:03 2024	1717685463	9	89	98	89
Thu Jun 06 14:51:03 2024	1717685463	9	91	100	91
Thu Jun 06 14:51:03 2024	1717685463	9	92	101	92
Thu Jun 06 14:51:03 2024	1717685463	9	94	103	94
Thu Jun 06 14:51:03 2024	1717685463	9	96	105	96
Thu Jun 06 14:51:03 2024	1717685463	9	97	106	97
Thu Jun 06 14:51:03 2024	1717685463	9	99	108	99
Thu Jun 06 14:51:03 2024	1717685463	9	101	110	101
Thu Jun 06 14:51:03 2024	1717685463	9	103	111	103
Thu Jun 06 14:51:03 2024	1717685463	9	104	113	104
Thu Jun 06 14:51:03 2024	1717685463	9	106	115	106
Thu Jun 06 14:51:03 2024	1717685463	9	108	117	108
Thu Jun 06 14:51:03 2024	1717685463	9	109	118	109
Thu Jun 06 14:51:03 2024	1717685463	9	111	120	111
Thu Jun 06 14:51:03 2024	1717685463	83	38	121	29
Thu Jun 06 14:51:03 2024	1717685463	9	113	122	113
Thu Jun 06 14:51:03 2024	1717685463	9	115	124	115
Thu Jun 06 14:51:03 2024	1717685463	9	116	125	116
Thu Jun 06 14:51:03 2024	1717685463	9	118	127	118
Thu Jun 06 14:51:03 2024	1717685463	9	120	129	120
Thu Jun 06 14:51:03 2024	1717685463	9	122	131	122
Thu Jun 06 14:51:03 2024	1717685463	9	124	133	124
Thu Jun 06 14:51:03 2024	1717685463	9	126	134	126
Thu Jun 06 14:51:03 2024	1717685463	9	128	137	128
Thu Jun 06 14:51:03 2024	1717685463	9	130	139	130
Thu Jun 06 14:51:03 2024	1717685463	9	132	141	132
Thu Jun 06 14:51:03 2024	1717685463	9	135	144	135
Thu Jun 06 14:51:03 2024	1717685463	9	137	146	137
Thu Jun 06 14:51:03 2024	1717685463	9	140	149	140
Thu Jun 06 14:51:03 2024	1717685463	9	143	152	143
Thu Jun 06 14:51:03 2024	1717685463	9	146	155	146
Thu Jun 06 14:51:03 2024	1717685463	9	149	158	149
Thu Jun 06 14:51:03 2024	1717685463	9	152	161	152
Thu Jun 06 14:51:03 2024	1717685463	9	152	161	152
Thu Jun 06 14:51:03 2024	1717685463	9	153	162	153
Thu Jun 06 14:51:03 2024	1717685463	9	153	162	153
Thu Jun 06 14:51:03 2024	1717685463	9	153	163	153
Thu Jun 06 14:51:03 2024	1717685463	9	154	163	154
Thu Jun 06 14:51:03 2024	1717685463	9	154	163	154
Thu Jun 06 14:51:03 2024	1717685463	10	154	164	154
Thu Jun 06 14:51:03 2024	1717685463	10	154	164	154
Thu Jun 06 14:51:03 2024	1717685463	10	154	164	154
Thu Jun 06 14:51:03 2024	1717685463	11	154	165	154
Thu Jun 06 14:51:03 2024	1717685463	11	154	165	154
Thu Jun 06 14:51:03 2024	1717685463	11	155	165	155
Thu Jun 06 14:51:03 2024	1717685463	11	155	166	155
Thu Jun 06 14:51:03 2024	1717685463	11	155	166	155
Thu Jun 06 14:51:03 2024	1717685463	11	155	166	155
Thu Jun 06 14:51:03 2024	1717685463	11	155	167	155
Thu Jun 06 14:51:03 2024	1717685463	11	156	167	156
Thu Jun 06 14:51:03 2024	1717685463	11	156	167	156
Thu Jun 06 14:51:03 2024	1717685463	11	156	167	156
Thu Jun 06 14:51:03 2024	1717685463	12	155	168	155
Thu Jun 06 14:51:03 2024	1717685463	13	155	168	155
Thu Jun 06 14:51:03 2024	1717685463	13	156	168	156
Thu Jun 06 14:51:03 2024	1717685463	13	156	169	156
Thu Jun 06 14:51:03 2024	1717685463	13	156	169	156
Thu Jun 06 14:51:03 2024	1717685463	13	157	170	157
Thu Jun 06 14:51:03 2024	1717685463	13	157	170	157
Thu Jun 06 14:51:03 2024	1717685463	13	157	170	157
Thu Jun 06 14:51:03 2024	1717685463	14	156	170	156
Thu Jun 06 14:51:03 2024	1717685463	14	157	171	157
Thu Jun 06 14:51:03 2024	1717685463	14	157	171	157
Thu Jun 06 14:51:03 2024	1717685463	14	157	171	157
Thu Jun 06 14:51:03 2024	1717685463	14	157	172	157
Thu Jun 06 14:51:03 2024	1717685463	14	158	172	158
Thu Jun 06 14:51:03 2024	1717685463	14	158	172	158
Thu Jun 06 14:51:03 2024	1717685463	14	158	173	158
Thu Jun 06 14:51:03 2024	1717685463	15	158	173	158
Thu Jun 06 14:51:03 2024	1717685463	15	158	173	158
Thu Jun 06 14:51:03 2024	1717685463	15	158	173	158
Thu Jun 06 14:51:03 2024	1717685463	15	158	174	158
Thu Jun 06 14:51:03 2024	1717685463	16	158	174	158
Thu Jun 06 14:51:03 2024	1717685463	16	159	174	159
Thu Jun 06 14:51:03 2024	1717685463	16	159	175	159
Thu Jun 06 14:51:03 2024	1717685463	16	159	175	159
Thu Jun 06 14:51:03 2024	1717685463	17	159	175	159
Thu Jun 06 14:51:03 2024	1717685463	17	159	176	159
Thu Jun 06 14:51:03 2024	1717685463	17	159	176	159
Thu Jun 06 14:51:03 2024	1717685463	17	159	176	159
Thu Jun 06 14:51:03 2024	1717685463	17	160	177	160
Thu Jun 06 14:51:03 2024	1717685463	17	160	177	160
Thu Jun 06 14:51:03 2024	1717685463	17	160	177	160
Thu Jun 06 14:51:03 2024	1717685463	17	160	178	160
Thu Jun 06 14:51:03 2024	1717685463	18	160	178	160
Thu Jun 06 14:51:03 2024	1717685463	18	160	178	160
Thu Jun 06 14:51:03 2024	1717685463	18	160	178	160
Thu Jun 06 14:51:03 2024	1717685463	18	160	179	160
Thu Jun 06 14:51:03 2024	1717685463	18	161	179	161
Thu Jun 06 14:51:03 2024	1717685463	18	161	179	161
Thu Jun 06 14:51:03 2024	1717685463	19	161	180	161
Thu Jun 06 14:51:03 2024	1717685463	19	161	180	161
Thu Jun 06 14:51:03 2024	1717685463	20	161	180	161
Thu Jun 06 14:51:03 2024	1717685463	20	161	181	161
Thu Jun 06 14:51:03 2024	1717685463	20	161	181	161
Thu Jun 06 14:51:03 2024	1717685463	20	161	181	161
Thu Jun 06 14:51:03 2024	1717685463	20	162	182	162
Thu Jun 06 14:51:03 2024	1717685463	20	162	182	162
Thu Jun 06 14:51:03 2024	1717685463	20	162	182	162
Thu Jun 06 14:51:03 2024	1717685463	20	162	183	162
Thu Jun 06 14:51:03 2024	1717685463	21	162	183	162
Thu Jun 06 14:51:03 2024	1717685463	21	162	183	162
Thu Jun 06 14:51:03 2024	1717685463	21	162	184	162
Thu Jun 06 14:51:03 2024	1717685463	22	162	184	162
Thu Jun 06 14:51:03 2024	1717685463	22	163	184	163
Thu Jun 06 14:51:03 2024	1717685463	22	163	185	163
Thu Jun 06 14:51:03 2024	1717685463	22	163	185	163
Thu Jun 06 14:51:03 2024	1717685463	22	163	185	163
Thu Jun 06 14:51:03 2024	1717685463	23	163	185	163
Thu Jun 06 14:51:03 2024	1717685463	23	163	186	163
Thu Jun 06 14:51:03 2024	1717685463	23	163	186	163
Thu Jun 06 14:51:03 2024	1717685463	23	163	186	163
Thu Jun 06 14:51:03 2024	1717685463	23	163	187	163
Thu Jun 06 14:51:03 2024	1717685463	23	164	187	164
Thu Jun 06 14:51:03 2024	1717685463	23	164	187	164
Thu Jun 06 14:51:03 2024	1717685463	24	164	188	164
Thu Jun 06 14:51:03 2024	1717685463	24	163	188	163
Thu Jun 06 14:51:03 2024	1717685463	25	164	188	164
Thu Jun 06 14:51:03 2024	1717685463	25	164	189	164
Thu Jun 06 14:51:03 2024	1717685463	25	164	189	164
Thu Jun 06 14:51:03 2024	1717685463	25	164	189	164
Thu Jun 06 14:51:03 2024	1717685463	25	165	190	165
Thu Jun 06 14:51:03 2024	1717685463	25	165	190	165
Thu Jun 06 14:51:03 2024	1717685463	25	165	190	165
Thu Jun 06 14:51:03 2024	1717685463	26	164	190	164
Thu Jun 06 14:51:03 2024	1717685463	26	165	191	165
Thu Jun 06 14:51:03 2024	1717685463	26	165	191	165
Thu Jun 06 14:51:03 2024	1717685463	26	165	191	165
Thu Jun 06 14:51:03 2024	1717685463	26	165	192	165
Thu Jun 06 14:51:03 2024	1717685463	27	166	192	166
Thu Jun 06 14:51:03 2024	1717685463	27	166	193	166
Thu Jun 06 14:51:03 2024	1717685463	27	166	193	166
Thu Jun 06 14:51:03 2024	1717685463	28	165	193	165
Thu Jun 06 14:51:03 2024	1717685463	28	166	193	166
Thu Jun 06 14:51:03 2024	1717685463	28	166	194	166
Thu Jun 06 14:51:03 2024	1717685463	28	166	194	166
Thu Jun 06 14:51:03 2024	1717685463	28	166	194	166
Thu Jun 06 14:51:03 2024	1717685463	28	167	195	167
Thu Jun 06 14:51:03 2024	1717685463	28	167	195	167
Thu Jun 06 14:51:03 2024	1717685463	28	167	195	167
Thu Jun 06 14:51:03 2024	1717685463	29	166	196	166
Thu Jun 06 14:51:03 2024	1717685463	30	166	196	166
Thu Jun 06 14:51:03 2024	1717685463	30	167	196	167
Thu Jun 06 14:51:03 2024	1717685463	30	167	197	167
Thu Jun 06 14:51:03 2024	1717685463	30	167	197	167
Thu Jun 06 14:51:03 2024	1717685463	30	167	197	167
Thu Jun 06 14:51:03 2024	1717685463	30	168	198	168
Thu Jun 06 14:51:03 2024	1717685463	30	168	198	168
Thu Jun 06 14:51:03 2024	1717685463	31	167	198	167
Thu Jun 06 14:51:03 2024	1717685463	31	167	199	167
Thu Jun 06 14:51:03 2024	1717685463	31	168	199	168
Thu Jun 06 14:51:03 2024	1717685463	31	168	199	168
Thu Jun 06 14:51:03 2024	1717685463	32	168	200	168
Thu Jun 06 14:51:03 2024	1717685463	32	168	200	168
Thu Jun 06 14:51:03 2024	1717685463	32	169	200	168
Thu Jun 06 14:51:03 2024	1717685463	32	169	201	169
Thu Jun 06 14:51:03 2024	1717685463	33	168	201	168
Thu Jun 06 14:51:03 2024	1717685463	33	168	201	168
Thu Jun 06 14:51:03 2024	1717685463	33	168	201	168
Thu Jun 06 14:51:03 2024	1717685463	33	169	202	169
Thu Jun 06 14:51:03 2024	1717685463	33	169	202	169
Thu Jun 06 14:51:03 2024	1717685463	33	169	202	169
Thu Jun 06 14:51:03 2024	1717685463	33	169	203	169
Thu Jun 06 14:51:03 2024	1717685463	34	170	203	170
Thu Jun 06 14:51:03 2024	1717685463	35	169	203	169
Thu Jun 06 14:51:03 2024	1717685463	35	169	204	169
Thu Jun 06 14:51:03 2024	1717685463	35	169	204	169
Thu Jun 06 14:51:03 2024	1717685463	35	169	204	169
Thu Jun 06 14:51:03 2024	1717685463	35	170	205	170
Thu Jun 06 14:51:03 2024	1717685463	35	170	205	170
Thu Jun 06 14:51:03 2024	1717685463	35	170	205	170
Thu Jun 06 14:51:03 2024	1717685463	35	170	206	170
Thu Jun 06 14:51:03 2024	1717685463	36	170	206	170
Thu Jun 06 14:51:03 2024	1717685463	36	170	206	170
Thu Jun 06 14:51:03 2024	1717685463	37	170	207	170
Thu Jun 06 14:51:03 2024	1717685463	37	170	207	170
Thu Jun 06 14:51:03 2024	1717685463	37	170	207	170
Thu Jun 06 14:51:03 2024	1717685463	37	171	207	171
Thu Jun 06 14:51:03 2024	1717685463	37	171	208	171
Thu Jun 06 14:51:03 2024	1717685463	37	171	208	171
Thu Jun 06 14:51:03 2024	1717685463	38	170	208	170
Thu Jun 06 14:51:03 2024	1717685463	38	170	209	170
