starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:14:30 2024	1717683270	10	78	87	78
Thu Jun 06 14:14:30 2024	1717683270	10	79	88	79
Thu Jun 06 14:14:30 2024	1717683270	10	79	89	79
Thu Jun 06 14:14:30 2024	1717683270	10	80	89	80
Thu Jun 06 14:14:30 2024	1717683270	10	81	90	81
Thu Jun 06 14:14:30 2024	1717683270	10	81	91	81
Thu Jun 06 14:14:30 2024	1717683270	10	82	92	82
Thu Jun 06 14:14:30 2024	1717683270	10	83	92	83
Thu Jun 06 14:14:30 2024	1717683270	10	84	93	84
Thu Jun 06 14:14:30 2024	1717683270	10	84	94	84
Thu Jun 06 14:14:30 2024	1717683270	10	85	95	85
Thu Jun 06 14:14:30 2024	1717683270	10	86	95	86
Thu Jun 06 14:14:30 2024	1717683270	10	86	96	86
Thu Jun 06 14:14:30 2024	1717683270	10	86	96	86
Thu Jun 06 14:14:30 2024	1717683270	10	86	96	86
Thu Jun 06 14:14:30 2024	1717683270	10	86	96	86
Thu Jun 06 14:14:30 2024	1717683270	10	86	96	86
Thu Jun 06 14:14:30 2024	1717683270	10	87	96	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	96	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	97	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	98	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	98	87
Thu Jun 06 14:14:30 2024	1717683270	10	87	98	87
Thu Jun 06 14:14:30 2024	1717683270	11	88	98	88
Thu Jun 06 14:14:30 2024	1717683270	11	87	98	87
Thu Jun 06 14:14:30 2024	1717683270	11	87	98	87
Thu Jun 06 14:14:30 2024	1717683270	11	88	99	88
Thu Jun 06 14:14:30 2024	1717683270	11	88	99	88
Thu Jun 06 14:14:30 2024	1717683270	11	88	99	88
Thu Jun 06 14:14:30 2024	1717683270	11	88	99	88
Thu Jun 06 14:14:30 2024	1717683270	11	88	100	88
Thu Jun 06 14:14:30 2024	1717683270	11	88	100	88
Thu Jun 06 14:14:30 2024	1717683270	12	88	100	88
Thu Jun 06 14:14:30 2024	1717683270	12	88	100	88
Thu Jun 06 14:14:30 2024	1717683270	12	88	100	88
Thu Jun 06 14:14:30 2024	1717683270	12	89	100	89
Thu Jun 06 14:14:30 2024	1717683270	12	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	12	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	12	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	12	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	12	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	13	89	101	89
Thu Jun 06 14:14:30 2024	1717683270	13	89	102	89
Thu Jun 06 14:14:30 2024	1717683270	13	89	102	89
Thu Jun 06 14:14:30 2024	1717683270	13	89	102	89
Thu Jun 06 14:14:30 2024	1717683270	13	90	102	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	102	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	103	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	103	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	103	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	103	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	103	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	104	90
Thu Jun 06 14:14:30 2024	1717683270	13	90	104	90
Thu Jun 06 14:14:30 2024	1717683270	14	90	104	90
Thu Jun 06 14:14:30 2024	1717683270	14	91	104	90
Thu Jun 06 14:14:30 2024	1717683270	14	90	104	90
Thu Jun 06 14:14:30 2024	1717683270	14	90	104	90
Thu Jun 06 14:14:30 2024	1717683270	14	90	105	90
Thu Jun 06 14:14:30 2024	1717683270	14	91	105	91
Thu Jun 06 14:14:30 2024	1717683270	14	91	105	91
Thu Jun 06 14:14:30 2024	1717683270	14	91	105	91
Thu Jun 06 14:14:30 2024	1717683270	14	91	105	91
Thu Jun 06 14:14:30 2024	1717683270	14	91	106	91
Thu Jun 06 14:14:30 2024	1717683270	15	91	106	91
Thu Jun 06 14:14:30 2024	1717683270	15	91	106	91
Thu Jun 06 14:14:30 2024	1717683270	15	91	106	91
Thu Jun 06 14:14:30 2024	1717683270	15	91	106	91
Thu Jun 06 14:14:30 2024	1717683270	15	91	107	91
Thu Jun 06 14:14:30 2024	1717683270	15	92	107	92
Thu Jun 06 14:14:30 2024	1717683270	15	92	107	92
Thu Jun 06 14:14:30 2024	1717683270	15	92	107	92
Thu Jun 06 14:14:30 2024	1717683270	16	91	107	91
Thu Jun 06 14:14:30 2024	1717683270	16	92	107	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	108	92
Thu Jun 06 14:14:30 2024	1717683270	16	92	109	92
Thu Jun 06 14:14:30 2024	1717683270	17	92	109	92
Thu Jun 06 14:14:30 2024	1717683270	17	92	109	92
Thu Jun 06 14:14:30 2024	1717683270	17	93	109	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	109	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	110	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	110	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	110	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	110	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	110	93
Thu Jun 06 14:14:30 2024	1717683270	17	93	111	93
Thu Jun 06 14:14:30 2024	1717683270	18	93	111	93
Thu Jun 06 14:14:30 2024	1717683270	18	93	111	93
Thu Jun 06 14:14:30 2024	1717683270	18	94	111	94
Thu Jun 06 14:14:30 2024	1717683270	18	94	111	94
Thu Jun 06 14:14:30 2024	1717683270	18	93	112	93
Thu Jun 06 14:14:30 2024	1717683270	18	93	112	93
Thu Jun 06 14:14:30 2024	1717683270	18	94	112	93
Thu Jun 06 14:14:30 2024	1717683270	18	94	112	94
Thu Jun 06 14:14:30 2024	1717683270	18	94	112	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	112	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	113	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	113	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	113	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	113	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	113	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	114	94
Thu Jun 06 14:14:30 2024	1717683270	19	94	114	94
Thu Jun 06 14:14:30 2024	1717683270	19	95	114	95
Thu Jun 06 14:14:30 2024	1717683270	19	95	114	95
Thu Jun 06 14:14:30 2024	1717683270	19	95	114	95
Thu Jun 06 14:14:30 2024	1717683270	20	94	114	94
Thu Jun 06 14:14:30 2024	1717683270	20	95	115	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	115	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	115	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	115	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	115	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	20	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	21	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	21	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	21	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	21	95	116	95
Thu Jun 06 14:14:30 2024	1717683270	21	96	117	96
Thu Jun 06 14:14:30 2024	1717683270	21	96	117	96
Thu Jun 06 14:14:30 2024	1717683270	21	96	117	96
Thu Jun 06 14:14:30 2024	1717683270	21	96	117	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	117	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	118	96
Thu Jun 06 14:14:30 2024	1717683270	22	96	119	96
Thu Jun 06 14:14:30 2024	1717683270	23	96	119	96
Thu Jun 06 14:14:30 2024	1717683270	23	96	119	96
Thu Jun 06 14:14:30 2024	1717683270	23	96	119	96
Thu Jun 06 14:14:30 2024	1717683270	23	96	119	96
Thu Jun 06 14:14:30 2024	1717683270	23	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	23	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	23	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	23	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	120	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	121	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	121	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	121	97
Thu Jun 06 14:14:30 2024	1717683270	24	97	121	97
Thu Jun 06 14:14:30 2024	1717683270	24	98	122	98
Thu Jun 06 14:14:30 2024	1717683270	25	97	122	97
Thu Jun 06 14:14:30 2024	1717683270	25	97	122	97
Thu Jun 06 14:14:30 2024	1717683270	25	97	122	97
Thu Jun 06 14:14:30 2024	1717683270	25	97	122	97
Thu Jun 06 14:14:30 2024	1717683270	25	98	123	98
Thu Jun 06 14:14:30 2024	1717683270	25	98	123	98
Thu Jun 06 14:14:30 2024	1717683270	25	98	123	98
Thu Jun 06 14:14:30 2024	1717683270	26	97	123	97
Thu Jun 06 14:14:29 2024	1717683269	80	43	123	33
Thu Jun 06 14:14:30 2024	1717683270	26	98	123	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	124	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	124	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	124	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	124	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	124	98
Thu Jun 06 14:14:30 2024	1717683270	26	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	98	125	98
Thu Jun 06 14:14:30 2024	1717683270	27	99	126	99
Thu Jun 06 14:14:30 2024	1717683270	27	99	126	99
Thu Jun 06 14:14:30 2024	1717683270	27	99	126	99
Thu Jun 06 14:14:30 2024	1717683270	28	98	126	98
Thu Jun 06 14:14:30 2024	1717683270	28	98	126	98
Thu Jun 06 14:14:30 2024	1717683270	28	99	126	99
Thu Jun 06 14:14:30 2024	1717683270	28	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	28	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	28	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	28	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	28	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	127	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	128	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	128	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	128	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	128	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	128	99
Thu Jun 06 14:14:30 2024	1717683270	29	99	129	99
Thu Jun 06 14:14:30 2024	1717683270	29	100	129	100
Thu Jun 06 14:14:30 2024	1717683270	30	99	129	99
Thu Jun 06 14:14:30 2024	1717683270	30	99	129	99
Thu Jun 06 14:14:30 2024	1717683270	30	99	129	99
Thu Jun 06 14:14:30 2024	1717683270	30	99	130	99
Thu Jun 06 14:14:30 2024	1717683270	30	100	130	100
Thu Jun 06 14:14:30 2024	1717683270	30	100	130	100
Thu Jun 06 14:14:30 2024	1717683270	30	100	130	100
Thu Jun 06 14:14:30 2024	1717683270	30	100	130	100
Thu Jun 06 14:14:30 2024	1717683270	31	99	130	99
Thu Jun 06 14:14:30 2024	1717683270	31	100	131	100
Thu Jun 06 14:14:30 2024	1717683270	31	100	131	100
Thu Jun 06 14:14:30 2024	1717683270	31	100	131	100
Thu Jun 06 14:14:30 2024	1717683270	31	100	131	100
Thu Jun 06 14:14:30 2024	1717683270	31	100	131	100
