Percentage served,Time in ms
0,53.868
1,91.093
2,103.208
3,107.828
4,112.277
5,116.855
6,121.689
7,126.272
8,131.920
9,137.308
10,141.781
11,146.390
12,151.027
13,156.064
14,161.109
15,166.556
16,171.684
17,176.428
18,181.591
19,187.979
20,191.655
21,193.433
22,195.783
23,198.352
24,200.552
25,203.581
26,204.104
27,204.318
28,205.125
29,206.701
30,206.889
31,206.916
32,206.945
33,206.962
34,206.976
35,207.008
36,207.228
37,207.341
38,207.402
39,207.426
40,207.451
41,207.520
42,207.586
43,207.625
44,207.658
45,207.681
46,207.717
47,207.750
48,207.806
49,207.831
50,207.860
51,207.909
52,207.926
53,207.956
54,208.011
55,208.054
56,208.095
57,208.119
58,208.142
59,208.182
60,208.257
61,208.277
62,208.342
63,208.485
64,208.898
65,209.053
66,209.092
67,209.113
68,209.138
69,209.270
70,209.734
71,209.927
72,209.997
73,210.067
74,210.121
75,210.193
76,210.229
77,210.627
78,210.753
79,210.853
80,211.413
81,332.495
82,335.224
83,345.381
84,361.949
85,368.434
86,399.186
87,486.235
88,531.863
89,570.137
90,590.517
91,615.103
92,744.593
93,798.314
94,819.031
95,836.241
96,849.170
97,859.715
98,865.418
99,877.356
100,894.048
