Percentage served,Time in ms
0,11.064
1,11.159
2,11.437
3,15.610
4,20.198
5,25.937
6,32.586
7,41.888
8,50.241
9,58.954
10,64.312
11,67.442
12,70.790
13,73.842
14,76.544
15,80.179
16,84.669
17,88.312
18,91.554
19,95.391
20,99.392
21,102.935
22,106.190
23,107.510
24,108.620
25,109.914
26,110.868
27,111.488
28,112.274
29,112.959
30,114.298
31,115.664
32,117.509
33,117.747
34,117.813
35,117.947
36,118.015
37,118.123
38,118.215
39,118.274
40,118.317
41,118.406
42,118.679
43,118.927
44,119.258
45,119.413
46,119.709
47,120.002
48,120.087
49,120.120
50,120.219
51,120.851
52,121.893
53,122.851
54,123.533
55,123.731
56,123.891
57,124.754
58,124.859
59,124.950
60,125.021
61,125.134
62,125.240
63,126.453
64,126.601
65,126.779
66,126.879
67,126.986
68,127.132
69,127.255
70,127.663
71,127.780
72,127.922
73,129.333
74,130.260
75,131.066
76,131.880
77,132.688
78,133.137
79,133.383
80,134.068
81,134.682
82,134.873
83,135.149
84,135.498
85,135.955
86,136.137
87,136.420
88,136.635
89,136.986
90,137.572
91,286.431
92,288.286
93,309.433
94,324.938
95,390.693
96,515.167
97,543.401
98,552.328
99,556.633
100,564.198
