starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:14:42 2024	1717683282	10	9	18	9
Thu Jun 06 14:14:42 2024	1717683282	10	9	19	9
Thu Jun 06 14:14:42 2024	1717683282	10	10	19	10
Thu Jun 06 14:14:42 2024	1717683282	10	10	20	10
Thu Jun 06 14:14:42 2024	1717683282	10	11	20	11
Thu Jun 06 14:14:42 2024	1717683282	10	12	21	11
Thu Jun 06 14:14:42 2024	1717683282	10	12	22	12
Thu Jun 06 14:14:42 2024	1717683282	10	13	22	13
Thu Jun 06 14:14:42 2024	1717683282	10	13	23	13
Thu Jun 06 14:14:42 2024	1717683282	10	14	23	14
Thu Jun 06 14:14:42 2024	1717683282	10	14	24	14
Thu Jun 06 14:14:42 2024	1717683282	10	15	24	15
Thu Jun 06 14:14:42 2024	1717683282	10	15	25	15
Thu Jun 06 14:14:42 2024	1717683282	10	16	25	16
Thu Jun 06 14:14:42 2024	1717683282	10	16	26	16
Thu Jun 06 14:14:42 2024	1717683282	9	17	26	17
Thu Jun 06 14:14:42 2024	1717683282	9	18	27	17
Thu Jun 06 14:14:42 2024	1717683282	9	18	28	18
Thu Jun 06 14:14:42 2024	1717683282	9	19	28	19
Thu Jun 06 14:14:42 2024	1717683282	9	19	29	19
Thu Jun 06 14:14:42 2024	1717683282	9	20	29	20
Thu Jun 06 14:14:42 2024	1717683282	9	20	30	20
Thu Jun 06 14:14:42 2024	1717683282	9	21	30	21
Thu Jun 06 14:14:42 2024	1717683282	9	21	31	21
Thu Jun 06 14:14:42 2024	1717683282	9	22	31	22
Thu Jun 06 14:14:42 2024	1717683282	9	22	32	22
Thu Jun 06 14:14:42 2024	1717683282	9	23	32	23
Thu Jun 06 14:14:42 2024	1717683282	9	23	33	23
Thu Jun 06 14:14:42 2024	1717683282	9	24	34	24
Thu Jun 06 14:14:42 2024	1717683282	9	25	34	25
Thu Jun 06 14:14:42 2024	1717683282	9	25	35	25
Thu Jun 06 14:14:42 2024	1717683282	9	26	35	26
Thu Jun 06 14:14:42 2024	1717683282	9	26	36	26
Thu Jun 06 14:14:42 2024	1717683282	9	27	36	27
Thu Jun 06 14:14:42 2024	1717683282	9	27	36	27
