Percentage served,Time in ms
0,184.747
1,195.954
2,207.300
3,218.377
4,229.015
5,240.294
6,251.413
7,263.315
8,274.658
9,285.779
10,296.999
11,311.530
12,322.774
13,334.037
14,347.506
15,362.355
16,373.527
17,385.659
18,397.182
19,450.109
20,451.580
21,452.514
22,453.051
23,453.972
24,454.590
25,455.002
26,455.364
27,455.734
28,456.101
29,456.496
30,458.457
31,460.983
32,462.758
33,464.858
34,465.781
35,467.138
36,467.837
37,468.827
38,470.143
39,470.648
40,471.164
41,471.640
42,472.277
43,472.832
44,473.222
45,473.465
46,473.621
47,473.892
48,474.056
49,474.256
50,474.452
51,474.696
52,474.868
53,475.076
54,475.348
55,475.569
56,475.694
57,476.304
58,476.800
59,477.181
60,477.347
61,477.729
62,477.930
63,478.014
64,478.134
65,478.313
66,479.013
67,479.456
68,479.884
69,480.261
70,480.440
71,480.632
72,480.838
73,481.018
74,481.238
75,481.539
76,481.897
77,482.671
78,518.065
79,567.918
80,635.475
81,699.575
82,763.300
83,789.948
84,908.005
85,964.208
86,982.341
87,1010.725
88,1033.193
89,1057.082
90,1074.918
91,1098.594
92,1134.256
93,1146.913
94,1170.286
95,1182.117
96,1357.558
97,1493.136
98,1691.144
99,1767.708
100,2247.965
