starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:14:23 2024	1717683263	16	196	212	196
Thu Jun 06 14:14:23 2024	1717683263	16	196	212	196
Thu Jun 06 14:14:23 2024	1717683263	16	197	213	197
Thu Jun 06 14:14:23 2024	1717683263	16	197	213	197
Thu Jun 06 14:14:23 2024	1717683263	16	197	214	197
Thu Jun 06 14:14:23 2024	1717683263	17	198	214	198
Thu Jun 06 14:14:23 2024	1717683263	17	198	215	198
Thu Jun 06 14:14:23 2024	1717683263	17	199	215	199
Thu Jun 06 14:14:23 2024	1717683263	17	199	216	199
Thu Jun 06 14:14:23 2024	1717683263	17	199	216	199
Thu Jun 06 14:14:23 2024	1717683263	17	200	217	200
Thu Jun 06 14:14:23 2024	1717683263	17	200	218	200
Thu Jun 06 14:14:23 2024	1717683263	17	201	218	201
Thu Jun 06 14:14:23 2024	1717683263	17	201	219	201
Thu Jun 06 14:14:23 2024	1717683263	17	202	219	202
Thu Jun 06 14:14:23 2024	1717683263	18	202	220	202
Thu Jun 06 14:14:23 2024	1717683263	18	202	220	202
Thu Jun 06 14:14:23 2024	1717683263	18	203	221	203
Thu Jun 06 14:14:23 2024	1717683263	18	203	221	203
Thu Jun 06 14:14:23 2024	1717683263	18	204	222	204
Thu Jun 06 14:14:23 2024	1717683263	18	204	222	204
Thu Jun 06 14:14:23 2024	1717683263	18	205	223	205
Thu Jun 06 14:14:23 2024	1717683263	18	205	223	205
Thu Jun 06 14:14:23 2024	1717683263	19	205	224	205
Thu Jun 06 14:14:23 2024	1717683263	19	206	224	206
Thu Jun 06 14:14:23 2024	1717683263	19	206	225	206
Thu Jun 06 14:14:23 2024	1717683263	19	207	225	207
Thu Jun 06 14:14:23 2024	1717683263	19	207	226	207
Thu Jun 06 14:14:23 2024	1717683263	19	208	227	208
Thu Jun 06 14:14:23 2024	1717683263	19	208	227	208
Thu Jun 06 14:14:23 2024	1717683263	19	208	228	208
Thu Jun 06 14:14:23 2024	1717683263	19	209	228	209
Thu Jun 06 14:14:23 2024	1717683263	20	209	229	209
Thu Jun 06 14:14:23 2024	1717683263	20	210	229	210
Thu Jun 06 14:14:23 2024	1717683263	20	210	230	210
Thu Jun 06 14:14:23 2024	1717683263	20	211	230	210
Thu Jun 06 14:14:23 2024	1717683263	20	211	231	211
Thu Jun 06 14:14:23 2024	1717683263	20	211	231	211
Thu Jun 06 14:14:23 2024	1717683263	20	212	232	212
