Percentage served,Time in ms
0,11.259
1,65.918
2,83.054
3,83.903
4,84.639
5,85.316
6,86.563
7,87.226
8,87.548
9,87.975
10,88.895
11,89.236
12,89.722
13,90.229
14,90.603
15,90.857
16,91.561
17,92.023
18,93.041
19,93.666
20,94.552
21,95.451
22,96.060
23,98.725
24,100.190
25,101.066
26,101.419
27,101.943
28,102.743
29,103.996
30,106.366
31,106.982
32,107.250
33,107.405
34,108.021
35,108.239
36,108.534
37,108.876
38,109.492
39,110.045
40,115.923
41,116.329
42,117.175
43,118.160
44,118.325
45,121.252
46,122.261
47,123.271
48,123.771
49,124.058
50,124.569
51,124.906
52,125.262
53,125.850
54,126.473
55,127.311
56,127.620
57,127.939
58,128.114
59,131.765
60,136.066
61,136.913
62,138.546
63,139.363
64,139.991
65,143.279
66,147.579
67,150.118
68,150.695
69,151.339
70,151.863
71,152.444
72,153.247
73,154.178
74,155.223
75,156.271
76,157.261
77,161.048
78,162.032
79,162.985
80,163.656
81,164.470
82,164.958
83,165.646
84,177.830
85,204.162
86,204.928
87,205.767
88,206.800
89,207.687
90,215.546
91,219.750
92,220.533
93,221.295
94,222.068
95,454.717
96,456.769
97,458.727
98,501.829
99,504.601
100,506.485
