starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:14:50 2024	1717683290	0	10	11	0
Thu Jun 06 14:14:51 2024	1717683291	9	39	48	39
Thu Jun 06 14:14:51 2024	1717683291	31	24	55	24
Thu Jun 06 14:14:51 2024	1717683291	25	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	25	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	25	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	26	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	26	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	26	32	57	32
Thu Jun 06 14:14:51 2024	1717683291	17	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	17	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	27	32	58	31
Thu Jun 06 14:14:51 2024	1717683291	27	32	58	32
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	27	31	58	31
Thu Jun 06 14:14:51 2024	1717683291	27	31	58	31
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	18	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	58	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	27	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	27	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	27	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	27	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	32	27	59	27
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	19	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	20	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	20	40	59	40
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	28	31	59	31
Thu Jun 06 14:14:51 2024	1717683291	20	40	60	39
Thu Jun 06 14:14:51 2024	1717683291	20	40	60	40
Thu Jun 06 14:14:51 2024	1717683291	20	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	20	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	20	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	29	31	60	31
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	21	39	60	39
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	21	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
Thu Jun 06 14:14:51 2024	1717683291	30	31	61	31
Thu Jun 06 14:14:51 2024	1717683291	22	39	61	39
