starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	1	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	10	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	1
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	2
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	2
Thu Jun 06 14:14:52 2024	1717683292	9	2	11	2
Thu Jun 06 14:14:52 2024	1717683292	9	2	12	2
Thu Jun 06 14:14:52 2024	1717683292	9	2	12	2
Thu Jun 06 14:14:52 2024	1717683292	9	3	12	3
Thu Jun 06 14:14:52 2024	1717683292	9	3	12	3
Thu Jun 06 14:14:52 2024	1717683292	9	3	12	3
Thu Jun 06 14:14:52 2024	1717683292	9	3	13	3
Thu Jun 06 14:14:52 2024	1717683292	9	4	13	4
Thu Jun 06 14:14:52 2024	1717683292	9	4	13	4
Thu Jun 06 14:14:52 2024	1717683292	9	4	14	4
Thu Jun 06 14:14:52 2024	1717683292	9	5	14	5
Thu Jun 06 14:14:52 2024	1717683292	9	5	14	5
Thu Jun 06 14:14:52 2024	1717683292	9	5	14	5
Thu Jun 06 14:14:52 2024	1717683292	9	6	15	6
Thu Jun 06 14:14:52 2024	1717683292	9	6	15	6
Thu Jun 06 14:14:52 2024	1717683292	9	6	15	6
Thu Jun 06 14:14:52 2024	1717683292	9	6	15	6
Thu Jun 06 14:14:52 2024	1717683292	9	6	16	6
Thu Jun 06 14:14:52 2024	1717683292	9	7	16	7
Thu Jun 06 14:14:52 2024	1717683292	9	7	16	7
Thu Jun 06 14:14:52 2024	1717683292	9	7	16	7
Thu Jun 06 14:14:52 2024	1717683292	9	7	16	7
Thu Jun 06 14:14:52 2024	1717683292	9	7	17	7
Thu Jun 06 14:14:52 2024	1717683292	9	8	17	8
Thu Jun 06 14:14:52 2024	1717683292	9	8	17	8
Thu Jun 06 14:14:52 2024	1717683292	9	8	18	8
Thu Jun 06 14:14:52 2024	1717683292	9	9	18	9
Thu Jun 06 14:14:52 2024	1717683292	9	9	18	9
Thu Jun 06 14:14:52 2024	1717683292	9	9	18	9
Thu Jun 06 14:14:52 2024	1717683292	9	9	18	9
Thu Jun 06 14:14:52 2024	1717683292	9	10	19	10
Thu Jun 06 14:14:52 2024	1717683292	9	10	19	10
Thu Jun 06 14:14:52 2024	1717683292	9	10	19	10
Thu Jun 06 14:14:52 2024	1717683292	9	10	19	10
Thu Jun 06 14:14:52 2024	1717683292	9	11	20	11
Thu Jun 06 14:14:52 2024	1717683292	9	11	20	11
Thu Jun 06 14:14:52 2024	1717683292	9	11	20	11
Thu Jun 06 14:14:52 2024	1717683292	9	11	21	11
Thu Jun 06 14:14:52 2024	1717683292	9	12	21	12
Thu Jun 06 14:14:52 2024	1717683292	9	12	21	12
Thu Jun 06 14:14:52 2024	1717683292	9	12	21	12
