Percentage served,Time in ms
0,91.663
1,107.314
2,111.798
3,116.278
4,120.779
5,125.506
6,130.077
7,134.619
8,139.119
9,143.666
10,148.275
11,153.008
12,157.564
13,162.322
14,167.405
15,172.055
16,176.950
17,181.550
18,186.236
19,188.872
20,191.265
21,193.393
22,194.887
23,195.938
24,197.519
25,200.836
26,203.775
27,204.569
28,205.198
29,205.477
30,205.798
31,206.030
32,206.147
33,206.509
34,207.033
35,207.106
36,207.164
37,207.304
38,207.506
39,207.626
40,207.757
41,207.855
42,208.008
43,208.064
44,208.210
45,208.449
46,208.514
47,208.563
48,208.583
49,208.611
50,208.634
51,208.665
52,208.693
53,208.707
54,208.714
55,208.728
56,208.750
57,208.779
58,208.791
59,208.809
60,208.850
61,208.895
62,208.948
63,209.009
64,209.141
65,211.880
66,212.184
67,212.841
68,213.101
69,213.470
70,213.634
71,213.756
72,214.033
73,214.091
74,214.238
75,214.293
76,214.352
77,214.397
78,214.426
79,214.446
80,214.463
81,214.603
82,216.170
83,347.929
84,364.141
85,394.355
86,401.543
87,483.876
88,531.554
89,563.786
90,571.838
91,670.766
92,769.134
93,813.321
94,826.885
95,836.162
96,846.471
97,859.744
98,874.984
99,887.689
100,985.225
