Percentage served,Time in ms
0,145.329
1,153.049
2,160.827
3,174.225
4,181.505
5,188.989
6,196.582
7,204.282
8,213.853
9,221.281
10,229.084
11,236.749
12,244.914
13,252.903
14,261.217
15,269.500
16,277.612
17,285.849
18,294.110
19,303.966
20,306.460
21,312.568
22,318.397
23,321.579
24,323.535
25,323.866
26,324.352
27,324.796
28,325.077
29,325.320
30,325.489
31,325.572
32,326.346
33,327.136
34,327.819
35,328.059
36,328.195
37,328.335
38,328.447
39,328.547
40,328.692
41,328.829
42,329.037
43,329.264
44,329.417
45,329.537
46,329.630
47,329.701
48,329.748
49,329.869
50,329.993
51,330.137
52,330.267
53,330.399
54,330.515
55,330.644
56,330.871
57,331.542
58,331.638
59,331.876
60,331.970
61,332.080
62,332.196
63,332.294
64,332.604
65,332.756
66,333.523
67,334.515
68,334.788
69,334.884
70,334.938
71,335.714
72,336.154
73,336.404
74,336.759
75,336.888
76,336.984
77,337.098
78,337.326
79,337.950
80,338.029
81,339.762
82,430.055
83,439.300
84,469.629
85,511.521
86,538.744
87,626.187
88,700.906
89,727.225
90,797.436
91,835.349
92,862.781
93,899.542
94,912.795
95,936.682
96,953.346
97,975.060
98,1032.093
99,1040.151
100,1574.782
