starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:15:16 2024	1717683316	17	140	156	139
Thu Jun 06 14:15:16 2024	1717683316	17	140	157	140
Thu Jun 06 14:15:16 2024	1717683316	17	140	157	140
Thu Jun 06 14:15:16 2024	1717683316	17	140	157	140
Thu Jun 06 14:15:16 2024	1717683316	17	140	158	140
Thu Jun 06 14:15:16 2024	1717683316	17	141	158	141
Thu Jun 06 14:15:16 2024	1717683316	17	141	158	141
Thu Jun 06 14:15:16 2024	1717683316	17	141	159	141
Thu Jun 06 14:15:16 2024	1717683316	18	141	159	141
Thu Jun 06 14:15:16 2024	1717683316	18	142	159	142
Thu Jun 06 14:15:16 2024	1717683316	18	142	160	142
Thu Jun 06 14:15:16 2024	1717683316	18	142	160	142
Thu Jun 06 14:15:16 2024	1717683316	18	143	160	143
Thu Jun 06 14:15:16 2024	1717683316	18	143	161	143
Thu Jun 06 14:15:16 2024	1717683316	18	143	161	143
Thu Jun 06 14:15:16 2024	1717683316	18	143	161	143
Thu Jun 06 14:15:16 2024	1717683316	18	143	162	143
Thu Jun 06 14:15:16 2024	1717683316	18	144	162	144
Thu Jun 06 14:15:16 2024	1717683316	18	144	162	144
Thu Jun 06 14:15:16 2024	1717683316	18	144	163	144
Thu Jun 06 14:15:16 2024	1717683316	18	144	163	144
Thu Jun 06 14:15:16 2024	1717683316	19	145	163	145
Thu Jun 06 14:15:16 2024	1717683316	19	145	163	145
Thu Jun 06 14:15:16 2024	1717683316	19	145	164	145
Thu Jun 06 14:15:16 2024	1717683316	19	145	164	145
Thu Jun 06 14:15:16 2024	1717683316	19	146	164	146
Thu Jun 06 14:15:16 2024	1717683316	19	146	165	146
Thu Jun 06 14:15:16 2024	1717683316	19	146	165	146
Thu Jun 06 14:15:16 2024	1717683316	19	146	165	146
Thu Jun 06 14:15:16 2024	1717683316	19	146	166	146
Thu Jun 06 14:15:16 2024	1717683316	19	147	166	147
Thu Jun 06 14:15:16 2024	1717683316	19	147	166	147
Thu Jun 06 14:15:16 2024	1717683316	19	147	167	147
Thu Jun 06 14:15:16 2024	1717683316	20	147	167	147
Thu Jun 06 14:15:16 2024	1717683316	20	148	167	148
Thu Jun 06 14:15:16 2024	1717683316	20	148	168	148
Thu Jun 06 14:15:16 2024	1717683316	20	148	168	148
Thu Jun 06 14:15:16 2024	1717683316	20	148	168	148
Thu Jun 06 14:15:16 2024	1717683316	20	148	168	148
Thu Jun 06 14:15:16 2024	1717683316	20	149	169	149
Thu Jun 06 14:15:16 2024	1717683316	20	149	169	149
Thu Jun 06 14:15:16 2024	1717683316	20	149	169	149
Thu Jun 06 14:15:16 2024	1717683316	20	149	170	149
Thu Jun 06 14:15:16 2024	1717683316	20	150	170	150
Thu Jun 06 14:15:16 2024	1717683316	21	150	170	150
Thu Jun 06 14:15:16 2024	1717683316	21	150	171	150
Thu Jun 06 14:15:16 2024	1717683316	21	150	171	150
Thu Jun 06 14:15:16 2024	1717683316	21	151	171	151
Thu Jun 06 14:15:16 2024	1717683316	21	151	172	151
Thu Jun 06 14:15:16 2024	1717683316	21	151	172	151
Thu Jun 06 14:15:16 2024	1717683316	21	151	172	151
Thu Jun 06 14:15:16 2024	1717683316	21	151	173	151
Thu Jun 06 14:15:16 2024	1717683316	21	152	173	152
Thu Jun 06 14:15:16 2024	1717683316	21	152	173	152
Thu Jun 06 14:15:16 2024	1717683316	21	152	174	152
Thu Jun 06 14:15:16 2024	1717683316	22	152	174	152
Thu Jun 06 14:15:16 2024	1717683316	22	153	174	153
Thu Jun 06 14:15:16 2024	1717683316	22	153	175	153
Thu Jun 06 14:15:16 2024	1717683316	22	153	175	153
Thu Jun 06 14:15:16 2024	1717683316	22	153	175	153
Thu Jun 06 14:15:16 2024	1717683316	22	153	176	153
Thu Jun 06 14:15:16 2024	1717683316	22	154	176	154
Thu Jun 06 14:15:16 2024	1717683316	22	154	176	154
Thu Jun 06 14:15:16 2024	1717683316	22	154	177	154
Thu Jun 06 14:15:16 2024	1717683316	22	155	177	155
Thu Jun 06 14:15:16 2024	1717683316	23	155	177	155
Thu Jun 06 14:15:16 2024	1717683316	23	155	178	155
Thu Jun 06 14:15:16 2024	1717683316	23	155	178	155
Thu Jun 06 14:15:16 2024	1717683316	23	156	178	155
Thu Jun 06 14:15:16 2024	1717683316	23	156	179	156
Thu Jun 06 14:15:16 2024	1717683316	23	156	179	156
Thu Jun 06 14:15:16 2024	1717683316	23	156	179	156
Thu Jun 06 14:15:16 2024	1717683316	23	156	180	156
Thu Jun 06 14:15:16 2024	1717683316	23	157	180	157
Thu Jun 06 14:15:16 2024	1717683316	23	157	180	157
Thu Jun 06 14:15:16 2024	1717683316	23	157	181	157
Thu Jun 06 14:15:16 2024	1717683316	24	157	181	157
Thu Jun 06 14:15:16 2024	1717683316	24	158	181	158
Thu Jun 06 14:15:16 2024	1717683316	24	158	182	158
Thu Jun 06 14:15:16 2024	1717683316	24	158	182	158
Thu Jun 06 14:15:16 2024	1717683316	25	157	182	157
Thu Jun 06 14:15:16 2024	1717683316	25	158	182	158
Thu Jun 06 14:15:16 2024	1717683316	25	158	183	158
Thu Jun 06 14:15:16 2024	1717683316	25	158	183	158
Thu Jun 06 14:15:16 2024	1717683316	25	158	183	158
