Percentage served,Time in ms
0,58.473
1,80.824
2,106.711
3,111.135
4,115.561
5,120.025
6,124.487
7,128.946
8,135.216
9,143.372
10,147.986
11,152.567
12,157.118
13,161.671
14,166.255
15,171.190
16,172.833
17,174.076
18,174.944
19,177.018
20,178.998
21,180.851
22,181.760
23,183.019
24,183.229
25,183.472
26,184.846
27,186.828
28,187.156
29,187.484
30,187.560
31,187.730
32,187.872
33,188.089
34,188.202
35,188.304
36,188.416
37,188.501
38,188.870
39,189.119
40,189.222
41,189.315
42,189.401
43,189.491
44,189.939
45,191.085
46,193.811
47,194.438
48,194.787
49,195.093
50,195.357
51,195.607
52,195.756
53,195.940
54,196.036
55,196.096
56,196.132
57,196.261
58,196.406
59,196.582
60,196.792
61,197.498
62,197.699
63,198.045
64,199.375
65,201.458
66,202.226
67,204.691
68,205.394
69,206.534
70,207.965
71,208.802
72,209.113
73,209.216
74,209.368
75,209.564
76,212.493
77,213.019
78,214.386
79,215.079
80,215.386
81,222.548
82,324.053
83,329.042
84,340.857
85,357.276
86,370.965
87,397.107
88,482.645
89,536.592
90,567.240
91,581.562
92,621.446
93,705.699
94,762.387
95,817.970
96,834.906
97,849.318
98,864.123
99,876.577
100,889.247
