starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:43:52 2024	1717685032	55	36	91	28
Thu Jun 06 14:43:52 2024	1717685032	8	90	98	90
Thu Jun 06 14:43:52 2024	1717685032	8	90	98	90
Thu Jun 06 14:43:52 2024	1717685032	8	90	98	90
Thu Jun 06 14:43:52 2024	1717685032	8	90	98	90
Thu Jun 06 14:43:52 2024	1717685032	8	90	98	90
Thu Jun 06 14:43:52 2024	1717685032	8	90	99	90
Thu Jun 06 14:43:52 2024	1717685032	8	91	99	91
Thu Jun 06 14:43:52 2024	1717685032	8	91	99	91
Thu Jun 06 14:43:52 2024	1717685032	9	90	99	90
Thu Jun 06 14:43:52 2024	1717685032	9	90	99	90
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	9	91	100	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	91	101	91
Thu Jun 06 14:43:52 2024	1717685032	10	92	102	92
Thu Jun 06 14:43:52 2024	1717685032	10	92	102	92
Thu Jun 06 14:43:52 2024	1717685032	11	91	102	91
Thu Jun 06 14:43:52 2024	1717685032	11	92	102	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	102	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	11	92	103	92
Thu Jun 06 14:43:52 2024	1717685032	12	92	104	92
Thu Jun 06 14:43:52 2024	1717685032	12	92	104	92
Thu Jun 06 14:43:52 2024	1717685032	12	92	104	92
Thu Jun 06 14:43:52 2024	1717685032	12	92	104	92
Thu Jun 06 14:43:52 2024	1717685032	12	93	104	93
Thu Jun 06 14:43:52 2024	1717685032	12	93	105	93
Thu Jun 06 14:43:52 2024	1717685032	12	93	105	93
Thu Jun 06 14:43:52 2024	1717685032	12	92	105	92
Thu Jun 06 14:43:52 2024	1717685032	12	92	105	92
Thu Jun 06 14:43:52 2024	1717685032	13	93	105	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	105	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	106	93
Thu Jun 06 14:43:52 2024	1717685032	13	93	107	93
Thu Jun 06 14:43:52 2024	1717685032	14	93	107	93
Thu Jun 06 14:43:52 2024	1717685032	14	93	107	93
Thu Jun 06 14:43:52 2024	1717685032	14	93	107	93
Thu Jun 06 14:43:52 2024	1717685032	14	94	107	94
Thu Jun 06 14:43:52 2024	1717685032	14	94	108	94
Thu Jun 06 14:43:52 2024	1717685032	14	93	108	93
Thu Jun 06 14:43:52 2024	1717685032	14	93	108	93
Thu Jun 06 14:43:52 2024	1717685032	14	94	108	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	108	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	108	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	109	94
Thu Jun 06 14:43:52 2024	1717685032	15	94	110	94
Thu Jun 06 14:43:52 2024	1717685032	16	94	110	94
Thu Jun 06 14:43:52 2024	1717685032	16	94	110	94
Thu Jun 06 14:43:52 2024	1717685032	16	95	110	95
Thu Jun 06 14:43:52 2024	1717685032	16	95	110	95
Thu Jun 06 14:43:52 2024	1717685032	16	94	110	94
Thu Jun 06 14:43:52 2024	1717685032	16	94	111	94
Thu Jun 06 14:43:52 2024	1717685032	16	94	111	94
Thu Jun 06 14:43:52 2024	1717685032	16	95	111	95
Thu Jun 06 14:43:52 2024	1717685032	16	95	111	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	111	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	112	95
Thu Jun 06 14:43:52 2024	1717685032	17	95	113	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	113	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	113	95
Thu Jun 06 14:43:52 2024	1717685032	18	96	113	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	113	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	114	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	114	95
Thu Jun 06 14:43:52 2024	1717685032	18	95	114	95
Thu Jun 06 14:43:52 2024	1717685032	19	96	114	96
Thu Jun 06 14:43:52 2024	1717685032	19	96	114	96
Thu Jun 06 14:43:52 2024	1717685032	19	96	114	96
Thu Jun 06 14:43:52 2024	1717685032	19	96	115	96
Thu Jun 06 14:43:52 2024	1717685032	19	95	115	95
Thu Jun 06 14:43:52 2024	1717685032	19	96	115	96
Thu Jun 06 14:43:52 2024	1717685032	19	96	115	96
Thu Jun 06 14:43:52 2024	1717685032	19	96	115	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	115	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	116	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	116	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	116	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	116	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	116	96
Thu Jun 06 14:43:52 2024	1717685032	20	96	117	96
Thu Jun 06 14:43:52 2024	1717685032	21	96	117	96
Thu Jun 06 14:43:52 2024	1717685032	21	96	117	96
Thu Jun 06 14:43:52 2024	1717685032	21	96	117	96
Thu Jun 06 14:43:52 2024	1717685032	21	97	117	97
Thu Jun 06 14:43:52 2024	1717685032	21	96	118	96
Thu Jun 06 14:43:52 2024	1717685032	21	96	118	96
Thu Jun 06 14:43:52 2024	1717685032	22	96	118	96
Thu Jun 06 14:43:52 2024	1717685032	22	97	118	97
Thu Jun 06 14:43:52 2024	1717685032	22	97	118	97
Thu Jun 06 14:43:52 2024	1717685032	22	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	22	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	22	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	119	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	120	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	120	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	120	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	120	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	120	97
Thu Jun 06 14:43:52 2024	1717685032	23	97	121	97
Thu Jun 06 14:43:52 2024	1717685032	23	98	121	98
Thu Jun 06 14:43:52 2024	1717685032	23	98	121	98
Thu Jun 06 14:43:52 2024	1717685032	23	98	121	98
Thu Jun 06 14:43:52 2024	1717685032	24	97	121	97
Thu Jun 06 14:43:52 2024	1717685032	24	97	121	97
Thu Jun 06 14:43:52 2024	1717685032	24	97	121	97
Thu Jun 06 14:43:52 2024	1717685032	24	97	122	97
Thu Jun 06 14:43:52 2024	1717685032	24	97	122	97
Thu Jun 06 14:43:52 2024	1717685032	24	98	122	98
Thu Jun 06 14:43:52 2024	1717685032	24	98	122	98
Thu Jun 06 14:43:52 2024	1717685032	25	98	122	98
Thu Jun 06 14:43:52 2024	1717685032	25	97	123	97
Thu Jun 06 14:43:52 2024	1717685032	25	97	123	97
Thu Jun 06 14:43:52 2024	1717685032	25	98	123	98
Thu Jun 06 14:43:52 2024	1717685032	25	98	123	98
Thu Jun 06 14:43:52 2024	1717685032	25	98	123	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	123	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	124	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	124	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	124	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	124	98
Thu Jun 06 14:43:52 2024	1717685032	26	98	124	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	27	98	125	98
Thu Jun 06 14:43:52 2024	1717685032	28	99	126	99
Thu Jun 06 14:43:52 2024	1717685032	28	99	126	99
Thu Jun 06 14:43:52 2024	1717685032	28	99	127	99
Thu Jun 06 14:43:52 2024	1717685032	28	99	127	99
Thu Jun 06 14:43:52 2024	1717685032	29	98	127	98
Thu Jun 06 14:43:52 2024	1717685032	29	98	127	98
Thu Jun 06 14:43:52 2024	1717685032	29	98	127	98
Thu Jun 06 14:43:52 2024	1717685032	29	99	127	99
Thu Jun 06 14:43:52 2024	1717685032	29	99	128	99
Thu Jun 06 14:43:52 2024	1717685032	29	99	128	99
Thu Jun 06 14:43:52 2024	1717685032	29	99	128	99
Thu Jun 06 14:43:52 2024	1717685032	29	99	128	99
Thu Jun 06 14:43:52 2024	1717685032	30	98	128	98
Thu Jun 06 14:43:52 2024	1717685032	30	99	128	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	129	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	129	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	129	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	129	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	129	99
Thu Jun 06 14:43:52 2024	1717685032	30	99	130	99
Thu Jun 06 14:43:52 2024	1717685032	31	99	130	99
Thu Jun 06 14:43:52 2024	1717685032	31	99	130	99
Thu Jun 06 14:43:52 2024	1717685032	32	99	131	99
Thu Jun 06 14:43:52 2024	1717685032	32	99	131	99
Thu Jun 06 14:43:52 2024	1717685032	32	99	132	99
Thu Jun 06 14:43:52 2024	1717685032	33	99	132	99
Thu Jun 06 14:43:52 2024	1717685032	33	99	132	99
Thu Jun 06 14:43:52 2024	1717685032	33	99	132	99
Thu Jun 06 14:43:52 2024	1717685032	33	100	132	100
Thu Jun 06 14:43:52 2024	1717685032	33	100	133	100
Thu Jun 06 14:43:52 2024	1717685032	33	99	133	99
Thu Jun 06 14:43:52 2024	1717685032	34	99	133	99
Thu Jun 06 14:43:52 2024	1717685032	34	99	133	99
Thu Jun 06 14:43:52 2024	1717685032	34	99	133	99
Thu Jun 06 14:43:52 2024	1717685032	34	100	133	100
Thu Jun 06 14:43:52 2024	1717685032	34	100	134	100
Thu Jun 06 14:43:52 2024	1717685032	34	100	134	100
Thu Jun 06 14:43:52 2024	1717685032	34	100	134	100
Thu Jun 06 14:43:52 2024	1717685032	35	99	134	99
Thu Jun 06 14:43:52 2024	1717685032	35	99	134	99
Thu Jun 06 14:43:52 2024	1717685032	35	100	134	100
Thu Jun 06 14:43:52 2024	1717685032	35	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	35	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	35	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	35	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	35	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	135	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	136	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	136	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	136	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	136	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	136	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	36	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	37	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	37	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	37	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	37	100	137	100
Thu Jun 06 14:43:52 2024	1717685032	38	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	38	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	38	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	38	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	38	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	138	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	139	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	139	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	139	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	139	100
Thu Jun 06 14:43:52 2024	1717685032	39	100	139	100
Thu Jun 06 14:43:52 2024	1717685032	39	101	140	101
Thu Jun 06 14:43:52 2024	1717685032	40	100	140	100
Thu Jun 06 14:43:52 2024	1717685032	40	100	140	100
Thu Jun 06 14:43:52 2024	1717685032	40	100	140	100
Thu Jun 06 14:43:52 2024	1717685032	40	100	140	100
Thu Jun 06 14:43:52 2024	1717685032	40	100	140	100
Thu Jun 06 14:43:52 2024	1717685032	40	100	141	100
Thu Jun 06 14:43:52 2024	1717685032	40	101	141	101
Thu Jun 06 14:43:52 2024	1717685032	40	101	141	101
Thu Jun 06 14:43:52 2024	1717685032	41	100	141	100
Thu Jun 06 14:43:52 2024	1717685032	41	100	141	100
Thu Jun 06 14:43:52 2024	1717685032	41	100	142	100
Thu Jun 06 14:43:52 2024	1717685032	41	100	142	100
Thu Jun 06 14:43:52 2024	1717685032	41	100	142	100
Thu Jun 06 14:43:52 2024	1717685032	42	101	142	101
Thu Jun 06 14:43:52 2024	1717685032	42	101	142	101
Thu Jun 06 14:43:52 2024	1717685032	42	101	142	101
Thu Jun 06 14:43:52 2024	1717685032	42	100	143	100
