Percentage served,Time in ms
0,9.746
1,9.802
2,9.849
3,11.629
4,16.326
5,21.316
6,27.133
7,33.340
8,40.571
9,49.072
10,56.513
11,58.468
12,60.876
13,63.582
14,66.141
15,69.311
16,71.727
17,74.696
18,77.125
19,79.720
20,81.463
21,82.810
22,84.667
23,86.200
24,87.772
25,88.503
26,89.196
27,90.154
28,91.369
29,92.709
30,93.391
31,94.191
32,95.997
33,98.639
34,101.197
35,101.533
36,101.584
37,101.750
38,101.978
39,102.131
40,102.397
41,102.442
42,102.578
43,102.615
44,102.725
45,102.792
46,102.909
47,103.039
48,103.171
49,103.379
50,103.495
51,103.608
52,103.642
53,103.659
54,103.670
55,103.685
56,103.720
57,103.767
58,103.800
59,103.863
60,103.912
61,103.956
62,104.026
63,104.099
64,104.174
65,104.190
66,104.224
67,104.257
68,104.285
69,104.308
70,104.368
71,104.515
72,104.902
73,105.349
74,106.193
75,110.440
76,111.051
77,112.440
78,112.697
79,113.150
80,113.758
81,114.165
82,114.300
83,114.533
84,114.648
85,114.801
86,114.889
87,115.188
88,116.582
89,117.227
90,117.451
91,117.776
92,117.918
93,268.846
94,270.464
95,277.688
96,299.556
97,340.970
98,483.311
99,488.521
100,490.738
