starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:44:00 2024	1717685040	8	15	23	15
Thu Jun 06 14:44:00 2024	1717685040	8	15	23	15
Thu Jun 06 14:44:00 2024	1717685040	8	15	23	15
Thu Jun 06 14:44:00 2024	1717685040	8	16	24	16
Thu Jun 06 14:44:00 2024	1717685040	8	16	24	16
Thu Jun 06 14:44:00 2024	1717685040	8	16	24	16
Thu Jun 06 14:44:00 2024	1717685040	8	16	24	16
Thu Jun 06 14:44:00 2024	1717685040	8	17	25	17
Thu Jun 06 14:44:00 2024	1717685040	8	18	25	17
Thu Jun 06 14:44:00 2024	1717685040	8	18	25	18
Thu Jun 06 14:44:00 2024	1717685040	8	18	26	18
Thu Jun 06 14:44:00 2024	1717685040	8	18	26	18
Thu Jun 06 14:44:00 2024	1717685040	8	18	26	18
Thu Jun 06 14:44:00 2024	1717685040	8	19	27	19
Thu Jun 06 14:44:00 2024	1717685040	8	19	27	19
Thu Jun 06 14:44:00 2024	1717685040	8	19	27	19
Thu Jun 06 14:44:00 2024	1717685040	8	20	27	20
Thu Jun 06 14:44:00 2024	1717685040	8	20	28	20
Thu Jun 06 14:44:00 2024	1717685040	8	20	28	20
Thu Jun 06 14:44:00 2024	1717685040	8	21	29	21
Thu Jun 06 14:44:00 2024	1717685040	8	21	29	21
Thu Jun 06 14:44:00 2024	1717685040	8	21	29	21
Thu Jun 06 14:44:00 2024	1717685040	8	22	29	22
Thu Jun 06 14:44:00 2024	1717685040	8	22	30	22
Thu Jun 06 14:44:00 2024	1717685040	8	22	30	22
Thu Jun 06 14:44:00 2024	1717685040	8	23	30	23
Thu Jun 06 14:44:00 2024	1717685040	8	23	31	23
Thu Jun 06 14:44:00 2024	1717685040	8	23	31	23
Thu Jun 06 14:44:00 2024	1717685040	8	24	31	24
Thu Jun 06 14:44:00 2024	1717685040	8	24	32	24
Thu Jun 06 14:44:00 2024	1717685040	8	24	32	24
Thu Jun 06 14:44:00 2024	1717685040	8	25	32	25
Thu Jun 06 14:44:00 2024	1717685040	8	25	33	25
Thu Jun 06 14:44:00 2024	1717685040	8	25	33	25
