starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:43:32 2024	1717685012	13	146	159	146
Thu Jun 06 14:43:32 2024	1717685012	13	146	159	146
Thu Jun 06 14:43:32 2024	1717685012	13	146	160	146
Thu Jun 06 14:43:32 2024	1717685012	14	147	160	147
Thu Jun 06 14:43:32 2024	1717685012	14	147	161	147
Thu Jun 06 14:43:32 2024	1717685012	14	147	161	147
Thu Jun 06 14:43:32 2024	1717685012	14	147	161	147
Thu Jun 06 14:43:32 2024	1717685012	14	148	162	148
Thu Jun 06 14:43:32 2024	1717685012	14	148	162	148
Thu Jun 06 14:43:32 2024	1717685012	14	148	162	148
Thu Jun 06 14:43:32 2024	1717685012	14	148	163	148
Thu Jun 06 14:43:32 2024	1717685012	14	149	163	149
Thu Jun 06 14:43:32 2024	1717685012	14	149	163	149
Thu Jun 06 14:43:32 2024	1717685012	14	149	164	149
Thu Jun 06 14:43:32 2024	1717685012	14	150	164	150
Thu Jun 06 14:43:32 2024	1717685012	15	150	164	150
Thu Jun 06 14:43:32 2024	1717685012	15	150	165	150
Thu Jun 06 14:43:32 2024	1717685012	15	150	165	150
Thu Jun 06 14:43:32 2024	1717685012	15	151	165	151
Thu Jun 06 14:43:32 2024	1717685012	15	151	166	151
Thu Jun 06 14:43:32 2024	1717685012	15	151	166	151
Thu Jun 06 14:43:32 2024	1717685012	15	151	166	151
Thu Jun 06 14:43:32 2024	1717685012	15	152	167	152
Thu Jun 06 14:43:32 2024	1717685012	15	152	167	152
Thu Jun 06 14:43:32 2024	1717685012	15	152	167	152
Thu Jun 06 14:43:32 2024	1717685012	15	152	168	152
Thu Jun 06 14:43:32 2024	1717685012	15	153	168	153
Thu Jun 06 14:43:32 2024	1717685012	16	153	168	153
Thu Jun 06 14:43:32 2024	1717685012	16	153	169	153
Thu Jun 06 14:43:32 2024	1717685012	16	153	169	153
Thu Jun 06 14:43:32 2024	1717685012	16	154	169	154
Thu Jun 06 14:43:32 2024	1717685012	16	154	170	154
Thu Jun 06 14:43:32 2024	1717685012	16	154	170	154
Thu Jun 06 14:43:32 2024	1717685012	16	154	170	154
Thu Jun 06 14:43:32 2024	1717685012	16	155	171	155
Thu Jun 06 14:43:32 2024	1717685012	16	155	171	155
Thu Jun 06 14:43:32 2024	1717685012	16	155	171	155
Thu Jun 06 14:43:32 2024	1717685012	16	155	172	155
Thu Jun 06 14:43:32 2024	1717685012	17	156	172	156
Thu Jun 06 14:43:32 2024	1717685012	17	156	173	156
Thu Jun 06 14:43:32 2024	1717685012	17	156	173	156
Thu Jun 06 14:43:32 2024	1717685012	17	156	173	156
Thu Jun 06 14:43:32 2024	1717685012	17	157	174	157
Thu Jun 06 14:43:32 2024	1717685012	17	157	174	157
Thu Jun 06 14:43:32 2024	1717685012	17	157	174	157
Thu Jun 06 14:43:32 2024	1717685012	17	157	175	157
Thu Jun 06 14:43:32 2024	1717685012	17	158	175	158
Thu Jun 06 14:43:32 2024	1717685012	17	158	175	158
Thu Jun 06 14:43:32 2024	1717685012	17	158	176	158
Thu Jun 06 14:43:32 2024	1717685012	17	159	176	159
Thu Jun 06 14:43:32 2024	1717685012	18	159	176	159
Thu Jun 06 14:43:32 2024	1717685012	18	159	177	159
Thu Jun 06 14:43:32 2024	1717685012	18	159	177	159
Thu Jun 06 14:43:32 2024	1717685012	18	160	177	160
Thu Jun 06 14:43:32 2024	1717685012	18	160	178	160
Thu Jun 06 14:43:32 2024	1717685012	18	160	178	160
Thu Jun 06 14:43:32 2024	1717685012	18	160	178	160
