Percentage served,Time in ms
0,179.988
1,189.662
2,201.007
3,210.771
4,220.634
5,230.422
6,240.055
7,249.405
8,259.423
9,269.684
10,279.486
11,289.238
12,299.502
13,309.405
14,319.711
15,330.045
16,340.482
17,350.589
18,360.869
19,371.243
20,379.052
21,382.655
22,391.940
23,394.764
24,396.018
25,397.621
26,398.042
27,398.315
28,398.700
29,399.822
30,402.946
31,404.930
32,408.280
33,411.382
34,414.670
35,415.178
36,415.507
37,415.811
38,416.219
39,416.618
40,416.972
41,417.222
42,417.392
43,417.520
44,417.657
45,417.745
46,417.932
47,418.056
48,418.217
49,418.348
50,418.435
51,418.554
52,418.627
53,418.730
54,418.853
55,418.932
56,419.021
57,419.138
58,419.233
59,419.394
60,419.628
61,420.051
62,422.454
63,422.827
64,423.074
65,423.223
66,423.509
67,423.684
68,423.808
69,424.021
70,424.074
71,424.168
72,424.289
73,424.427
74,424.530
75,424.623
76,424.693
77,424.894
78,425.190
79,475.278
80,496.460
81,522.457
82,595.624
83,649.904
84,675.761
85,738.397
86,904.229
87,973.847
88,994.231
89,1020.545
90,1036.902
91,1047.140
92,1056.449
93,1065.880
94,1074.106
95,1091.786
96,1114.115
97,1132.800
98,1385.211
99,1455.228
100,1781.278
