Percentage served,Time in ms
0,8.976
1,56.588
2,70.052
3,70.595
4,70.930
5,71.252
6,71.611
7,72.124
8,72.342
9,72.534
10,72.790
11,72.931
12,73.133
13,73.729
14,74.354
15,82.077
16,82.279
17,82.439
18,82.700
19,83.116
20,83.773
21,84.521
22,85.106
23,85.802
24,86.199
25,86.661
26,87.158
27,87.310
28,87.500
29,87.695
30,88.020
31,88.282
32,88.479
33,88.761
34,88.982
35,89.275
36,92.489
37,93.827
38,94.191
39,94.945
40,96.411
41,97.497
42,97.766
43,98.520
44,99.195
45,99.512
46,101.578
47,103.041
48,103.086
49,103.100
50,103.505
51,103.662
52,103.840
53,104.670
54,105.908
55,107.360
56,109.239
57,111.235
58,117.334
59,118.001
60,118.510
61,119.146
62,119.598
63,119.670
64,119.771
65,120.331
66,120.661
67,120.789
68,120.977
69,121.567
70,122.942
71,138.738
72,139.217
73,139.700
74,148.564
75,151.297
76,154.989
77,164.987
78,166.517
79,167.497
80,168.156
81,168.767
82,169.238
83,169.846
84,316.065
85,318.050
86,329.781
87,334.974
88,337.151
89,339.892
90,340.788
91,342.117
92,345.158
93,347.139
94,348.273
95,349.822
96,351.571
97,353.373
98,381.002
99,383.238
100,385.110
