Percentage served,Time in ms
0,8.850
1,8.902
2,13.514
3,18.999
4,26.046
5,34.186
6,44.004
7,54.108
8,64.654
9,68.008
10,71.577
11,75.068
12,78.590
13,82.034
14,85.414
15,89.310
16,93.300
17,96.866
18,100.177
19,104.176
20,107.766
21,110.557
22,111.810
23,113.009
24,114.391
25,115.587
26,116.374
27,117.479
28,118.587
29,120.075
30,121.597
31,123.015
32,124.049
33,124.908
34,125.688
35,125.844
36,125.994
37,126.406
38,126.692
39,126.842
40,127.016
41,127.082
42,127.132
43,127.144
44,127.303
45,127.898
46,128.176
47,128.203
48,128.277
49,128.300
50,128.339
51,128.396
52,128.468
53,128.659
54,128.705
55,128.725
56,128.783
57,128.995
58,129.201
59,129.613
60,129.749
61,129.789
62,129.861
63,129.984
64,130.039
65,130.097
66,130.136
67,130.324
68,130.407
69,130.670
70,130.812
71,130.883
72,130.937
73,131.044
74,131.179
75,131.212
76,131.245
77,131.274
78,131.297
79,131.322
80,131.354
81,131.430
82,131.500
83,131.533
84,131.555
85,131.598
86,131.702
87,131.863
88,132.066
89,132.335
90,132.394
91,132.803
92,289.297
93,299.206
94,309.076
95,317.744
96,328.596
97,349.500
98,393.238
99,594.708
100,597.561
