starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
Thu Jun 06 14:44:13 2024	1717685053	12	2	14	1
