starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:44:23 2024	1717685063	8	89	97	88
Thu Jun 06 14:44:23 2024	1717685063	8	90	98	90
Thu Jun 06 14:44:23 2024	1717685063	8	92	100	92
Thu Jun 06 14:44:23 2024	1717685063	8	93	101	93
Thu Jun 06 14:44:23 2024	1717685063	8	95	103	95
Thu Jun 06 14:44:23 2024	1717685063	8	97	105	97
Thu Jun 06 14:44:23 2024	1717685063	8	98	106	98
Thu Jun 06 14:44:23 2024	1717685063	8	99	108	99
Thu Jun 06 14:44:23 2024	1717685063	8	101	109	101
Thu Jun 06 14:44:23 2024	1717685063	8	103	111	103
Thu Jun 06 14:44:23 2024	1717685063	8	104	112	104
Thu Jun 06 14:44:23 2024	1717685063	8	106	114	106
Thu Jun 06 14:44:23 2024	1717685063	8	108	116	108
Thu Jun 06 14:44:23 2024	1717685063	8	109	117	109
Thu Jun 06 14:44:23 2024	1717685063	8	111	120	111
Thu Jun 06 14:44:23 2024	1717685063	8	114	122	114
Thu Jun 06 14:44:23 2024	1717685063	8	116	124	116
Thu Jun 06 14:44:23 2024	1717685063	8	119	127	119
Thu Jun 06 14:44:23 2024	1717685063	8	123	131	123
Thu Jun 06 14:44:23 2024	1717685063	8	126	134	126
Thu Jun 06 14:44:23 2024	1717685063	8	129	137	129
Thu Jun 06 14:44:23 2024	1717685063	95	44	139	36
Thu Jun 06 14:44:23 2024	1717685063	8	132	140	132
Thu Jun 06 14:44:23 2024	1717685063	8	134	142	134
Thu Jun 06 14:44:23 2024	1717685063	8	138	146	138
Thu Jun 06 14:44:23 2024	1717685063	8	138	146	138
Thu Jun 06 14:44:23 2024	1717685063	8	138	146	138
Thu Jun 06 14:44:23 2024	1717685063	8	138	146	138
Thu Jun 06 14:44:23 2024	1717685063	8	138	146	138
Thu Jun 06 14:44:23 2024	1717685063	9	138	147	138
Thu Jun 06 14:44:23 2024	1717685063	8	139	147	139
Thu Jun 06 14:44:23 2024	1717685063	9	138	147	138
Thu Jun 06 14:44:23 2024	1717685063	9	138	147	138
Thu Jun 06 14:44:23 2024	1717685063	9	138	147	138
Thu Jun 06 14:44:23 2024	1717685063	9	139	148	139
Thu Jun 06 14:44:23 2024	1717685063	9	139	148	139
Thu Jun 06 14:44:23 2024	1717685063	9	139	148	139
Thu Jun 06 14:44:23 2024	1717685063	9	139	149	139
Thu Jun 06 14:44:23 2024	1717685063	10	139	149	139
Thu Jun 06 14:44:23 2024	1717685063	10	139	149	139
Thu Jun 06 14:44:23 2024	1717685063	10	139	149	139
