Percentage served,Time in ms
0,127.048
1,133.981
2,140.767
3,147.551
4,154.488
5,161.576
6,169.032
7,176.060
8,183.097
9,190.149
10,197.298
11,204.400
12,212.475
13,219.710
14,227.156
15,234.317
16,243.078
17,250.361
18,257.894
19,265.248
20,283.924
21,291.434
22,292.157
23,292.793
24,293.222
25,293.895
26,294.128
27,294.251
28,294.366
29,294.521
30,294.635
31,294.698
32,294.765
33,294.868
34,294.898
35,294.928
36,294.951
37,295.009
38,295.052
39,295.086
40,295.138
41,295.193
42,295.229
43,295.283
44,295.439
45,295.615
46,295.749
47,296.343
48,297.575
49,297.871
50,298.230
51,298.368
52,298.733
53,298.899
54,299.250
55,299.646
56,299.839
57,300.030
58,300.168
59,300.795
60,301.229
61,301.366
62,301.702
63,301.839
64,301.965
65,302.009
66,302.105
67,302.327
68,302.619
69,303.243
70,303.640
71,303.825
72,304.052
73,304.199
74,304.332
75,304.470
76,304.732
77,305.386
78,306.022
79,306.508
80,307.106
81,307.621
82,308.329
83,308.853
84,423.319
85,438.082
86,490.601
87,523.783
88,585.378
89,684.615
90,841.746
91,866.458
92,879.393
93,892.057
94,908.429
95,923.231
96,938.719
97,951.452
98,975.899
99,1008.479
100,1169.156
