Percentage served,Time in ms
0,244.221
1,308.801
2,354.117
3,399.710
4,432.226
5,437.922
6,439.418
7,440.182
8,440.692
9,441.649
10,442.029
11,442.405
12,442.715
13,442.981
14,443.318
15,443.643
16,444.064
17,444.732
18,445.336
19,446.844
20,448.073
21,448.522
22,448.867
23,449.739
24,450.267
25,450.645
26,451.567
27,452.900
28,454.010
29,454.688
30,455.483
31,456.187
32,456.745
33,457.549
34,458.088
35,458.427
36,458.878
37,459.402
38,459.925
39,460.400
40,460.910
41,461.555
42,462.078
43,462.475
44,463.006
45,463.451
46,464.009
47,464.385
48,465.594
49,466.556
50,467.615
51,468.295
52,469.187
53,469.862
54,470.383
55,470.826
56,471.334
57,471.780
58,472.127
59,472.488
60,472.741
61,473.026
62,473.350
63,473.901
64,474.527
65,475.506
66,478.010
67,479.466
68,481.565
69,482.940
70,484.169
71,485.527
72,486.746
73,487.560
74,488.705
75,489.740
76,490.917
77,497.185
78,501.812
79,506.753
80,508.521
81,569.151
82,957.743
83,1065.001
84,1113.608
85,1129.577
86,1151.226
87,1160.810
88,1169.930
89,1176.939
90,1190.323
91,1448.299
92,1475.867
93,1485.659
94,1503.910
95,1818.802
96,2124.662
97,2443.666
98,3499.278
99,4193.381
100,8313.587
