starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 14:06:26 2024	1716473186	10	46	56	46
Thu May 23 14:06:26 2024	1716473186	10	47	56	47
Thu May 23 14:06:26 2024	1716473186	10	47	56	47
Thu May 23 14:06:26 2024	1716473186	10	47	57	47
Thu May 23 14:06:26 2024	1716473186	10	48	58	48
Thu May 23 14:06:26 2024	1716473186	10	48	58	48
Thu May 23 14:06:26 2024	1716473186	10	49	59	49
Thu May 23 14:06:26 2024	1716473186	10	50	59	50
Thu May 23 14:06:26 2024	1716473186	10	50	60	50
Thu May 23 14:06:26 2024	1716473186	10	51	60	51
Thu May 23 14:06:26 2024	1716473186	10	51	61	51
Thu May 23 14:06:26 2024	1716473186	10	52	61	52
Thu May 23 14:06:26 2024	1716473186	10	52	62	52
Thu May 23 14:06:26 2024	1716473186	10	53	62	53
Thu May 23 14:06:26 2024	1716473186	10	53	63	53
Thu May 23 14:06:26 2024	1716473186	10	54	63	54
Thu May 23 14:06:26 2024	1716473186	10	54	64	54
Thu May 23 14:06:26 2024	1716473186	10	55	64	55
Thu May 23 14:06:26 2024	1716473186	10	55	65	55
Thu May 23 14:06:26 2024	1716473186	10	56	66	56
Thu May 23 14:06:26 2024	1716473186	10	56	66	56
Thu May 23 14:06:26 2024	1716473186	10	57	67	57
Thu May 23 14:06:26 2024	1716473186	10	57	67	57
Thu May 23 14:06:26 2024	1716473186	10	58	68	58
Thu May 23 14:06:26 2024	1716473186	10	58	68	58
Thu May 23 14:06:26 2024	1716473186	10	59	68	59
Thu May 23 14:06:26 2024	1716473186	10	59	69	59
Thu May 23 14:06:26 2024	1716473186	10	60	70	60
Thu May 23 14:06:26 2024	1716473186	10	60	70	60
Thu May 23 14:06:26 2024	1716473186	10	61	71	61
Thu May 23 14:06:26 2024	1716473186	10	62	71	62
Thu May 23 14:06:26 2024	1716473186	10	62	72	62
Thu May 23 14:06:26 2024	1716473186	10	63	72	63
Thu May 23 14:06:26 2024	1716473186	10	63	73	63
Thu May 23 14:06:26 2024	1716473186	10	64	73	64
