Percentage served,Time in ms
0,14.016
1,20.263
2,27.425
3,35.487
4,43.869
5,53.394
6,64.017
7,70.571
8,73.069
9,76.408
10,80.141
11,83.823
12,87.676
13,91.483
14,95.288
15,98.988
16,102.381
17,106.467
18,110.209
19,113.795
20,117.751
21,121.161
22,123.814
23,124.719
24,126.019
25,128.956
26,130.230
27,131.460
28,132.665
29,134.490
30,135.383
31,135.906
32,136.144
33,136.426
34,136.580
35,136.809
36,136.918
37,137.008
38,137.075
39,137.109
40,137.294
41,137.466
42,137.569
43,137.648
44,137.787
45,137.976
46,138.040
47,138.134
48,138.178
49,138.221
50,138.318
51,138.352
52,138.443
53,138.484
54,138.503
55,138.522
56,138.559
57,138.593
58,138.633
59,138.674
60,138.698
61,138.734
62,138.751
63,138.773
64,138.794
65,138.813
66,138.827
67,138.843
68,138.885
69,139.086
70,139.327
71,139.413
72,139.624
73,139.750
74,139.923
75,140.010
76,140.321
77,140.383
78,140.655
79,140.747
80,141.391
81,141.635
82,141.730
83,141.954
84,142.441
85,142.685
86,142.851
87,143.181
88,143.420
89,287.864
90,292.529
91,302.224
92,310.961
93,319.410
94,336.851
95,371.371
96,420.100
97,536.890
98,548.928
99,620.953
100,631.488
