starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	9	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	10	1
Thu May 23 14:04:26 2024	1716473066	10	1	11	1
Thu May 23 14:04:26 2024	1716473066	9	1	11	1
Thu May 23 14:04:26 2024	1716473066	9	1	11	1
Thu May 23 14:04:26 2024	1716473066	9	2	11	2
Thu May 23 14:04:26 2024	1716473066	9	2	11	2
Thu May 23 14:04:26 2024	1716473066	9	3	12	3
Thu May 23 14:04:26 2024	1716473066	9	3	12	3
Thu May 23 14:04:26 2024	1716473066	9	3	13	3
Thu May 23 14:04:26 2024	1716473066	9	4	13	4
Thu May 23 14:04:26 2024	1716473066	9	4	13	4
Thu May 23 14:04:26 2024	1716473066	9	4	14	4
Thu May 23 14:04:26 2024	1716473066	9	5	14	5
Thu May 23 14:04:26 2024	1716473066	9	5	14	5
Thu May 23 14:04:26 2024	1716473066	9	5	15	5
Thu May 23 14:04:26 2024	1716473066	9	6	15	6
Thu May 23 14:04:26 2024	1716473066	9	6	15	6
Thu May 23 14:04:26 2024	1716473066	9	6	16	6
Thu May 23 14:04:26 2024	1716473066	9	7	16	7
Thu May 23 14:04:26 2024	1716473066	9	7	16	7
Thu May 23 14:04:26 2024	1716473066	9	7	17	7
Thu May 23 14:04:26 2024	1716473066	9	8	17	8
Thu May 23 14:04:26 2024	1716473066	9	8	17	8
Thu May 23 14:04:26 2024	1716473066	9	9	18	9
Thu May 23 14:04:26 2024	1716473066	9	9	18	9
Thu May 23 14:04:26 2024	1716473066	9	9	18	9
Thu May 23 14:04:26 2024	1716473066	9	9	19	9
Thu May 23 14:04:26 2024	1716473066	9	10	19	10
Thu May 23 14:04:26 2024	1716473066	9	10	20	10
Thu May 23 14:04:26 2024	1716473066	9	11	20	11
Thu May 23 14:04:26 2024	1716473066	9	11	20	11
Thu May 23 14:04:26 2024	1716473066	9	11	21	11
Thu May 23 14:04:26 2024	1716473066	9	12	21	12
Thu May 23 14:04:26 2024	1716473066	9	12	21	12
Thu May 23 14:04:26 2024	1716473066	9	13	22	13
Thu May 23 14:04:26 2024	1716473066	9	13	22	13
Thu May 23 14:04:26 2024	1716473066	9	13	23	13
Thu May 23 14:04:26 2024	1716473066	9	14	23	14
Thu May 23 14:04:26 2024	1716473066	9	14	23	14
Thu May 23 14:04:26 2024	1716473066	9	15	24	15
Thu May 23 14:04:26 2024	1716473066	9	15	24	15
Thu May 23 14:04:26 2024	1716473066	9	16	25	16
Thu May 23 14:04:26 2024	1716473066	9	16	25	16
Thu May 23 14:04:26 2024	1716473066	9	16	26	16
Thu May 23 14:04:26 2024	1716473066	9	17	26	17
