Percentage served,Time in ms
0,309.639
1,383.474
2,455.651
3,526.375
4,599.614
5,670.465
6,676.402
7,679.637
8,682.962
9,684.144
10,686.319
11,687.046
12,687.508
13,688.000
14,688.755
15,689.449
16,690.047
17,690.780
18,691.701
19,692.528
20,694.082
21,695.381
22,696.036
23,696.688
24,697.605
25,698.533
26,699.082
27,699.755
28,700.180
29,700.574
30,700.950
31,701.542
32,702.041
33,702.689
34,703.395
35,703.882
36,704.689
37,705.033
38,705.545
39,705.921
40,706.344
41,706.961
42,707.402
43,707.960
44,708.488
45,708.684
46,708.884
47,709.200
48,709.442
49,709.784
50,709.974
51,710.339
52,710.658
53,711.025
54,711.536
55,712.182
56,713.120
57,713.981
58,716.860
59,718.684
60,720.486
61,721.403
62,722.876
63,724.302
64,726.188
65,727.100
66,728.495
67,729.441
68,730.094
69,731.805
70,733.295
71,734.583
72,735.730
73,737.368
74,740.502
75,744.443
76,753.160
77,757.520
78,760.622
79,762.955
80,764.251
81,765.492
82,770.288
83,774.369
84,1159.195
85,1277.850
86,1387.002
87,1405.525
88,1417.211
89,1447.117
90,1462.224
91,1690.564
92,1712.837
93,1726.391
94,1737.509
95,1761.359
96,2049.483
97,2440.096
98,3743.885
99,4455.059
100,8779.509
