starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 13:58:33 2024	1716472713	12	144	156	144
Thu May 23 13:58:33 2024	1716472713	12	146	158	146
Thu May 23 13:58:33 2024	1716472713	12	148	161	148
Thu May 23 13:58:33 2024	1716472713	12	151	163	151
Thu May 23 13:58:33 2024	1716472713	12	154	166	154
Thu May 23 13:58:33 2024	1716472713	12	156	168	156
Thu May 23 13:58:33 2024	1716472713	12	159	171	159
Thu May 23 13:58:33 2024	1716472713	12	162	174	162
Thu May 23 13:58:33 2024	1716472713	12	165	177	165
Thu May 23 13:58:33 2024	1716472713	12	168	180	168
Thu May 23 13:58:33 2024	1716472713	12	171	183	171
Thu May 23 13:58:33 2024	1716472713	12	174	186	174
Thu May 23 13:58:33 2024	1716472713	12	177	189	177
Thu May 23 13:58:33 2024	1716472713	12	180	192	180
Thu May 23 13:58:33 2024	1716472713	12	183	195	183
Thu May 23 13:58:33 2024	1716472713	12	185	197	185
Thu May 23 13:58:33 2024	1716472713	12	189	201	189
Thu May 23 13:58:33 2024	1716472713	12	192	204	192
Thu May 23 13:58:33 2024	1716472713	12	195	207	195
Thu May 23 13:58:33 2024	1716472713	12	197	209	197
Thu May 23 13:58:33 2024	1716472713	12	200	212	200
Thu May 23 13:58:33 2024	1716472713	12	203	215	203
Thu May 23 13:58:33 2024	1716472713	12	206	218	206
Thu May 23 13:58:33 2024	1716472713	12	208	219	207
Thu May 23 13:58:33 2024	1716472713	13	208	221	208
Thu May 23 13:58:33 2024	1716472713	13	208	222	208
Thu May 23 13:58:33 2024	1716472713	13	209	222	209
Thu May 23 13:58:33 2024	1716472713	13	209	223	209
Thu May 23 13:58:33 2024	1716472713	14	210	223	210
Thu May 23 13:58:33 2024	1716472713	14	210	224	210
Thu May 23 13:58:33 2024	1716472713	14	210	224	210
Thu May 23 13:58:33 2024	1716472713	154	70	224	58
Thu May 23 13:58:33 2024	1716472713	14	211	225	211
Thu May 23 13:58:33 2024	1716472713	15	211	225	211
Thu May 23 13:58:33 2024	1716472713	15	211	226	211
Thu May 23 13:58:33 2024	1716472713	15	211	226	211
Thu May 23 13:58:33 2024	1716472713	15	212	227	212
Thu May 23 13:58:33 2024	1716472713	15	212	227	212
Thu May 23 13:58:33 2024	1716472713	15	213	228	213
Thu May 23 13:58:33 2024	1716472713	15	213	228	213
Thu May 23 13:58:33 2024	1716472713	15	214	229	213
Thu May 23 13:58:33 2024	1716472713	16	213	229	213
Thu May 23 13:58:33 2024	1716472713	16	214	230	214
Thu May 23 13:58:33 2024	1716472713	16	214	230	214
Thu May 23 13:58:33 2024	1716472713	16	214	231	214
