Percentage served,Time in ms
0,12.190
1,12.212
2,12.826
3,19.537
4,28.975
5,40.445
6,52.208
7,69.472
8,94.236
9,98.650
10,103.851
11,108.433
12,113.478
13,118.379
14,122.978
15,128.668
16,133.952
17,139.497
18,143.888
19,148.627
20,151.648
21,152.994
22,154.274
23,155.810
24,157.036
25,158.414
26,160.248
27,160.609
28,161.061
29,161.224
30,161.361
31,161.419
32,162.200
33,162.434
34,162.482
35,162.749
36,162.887
37,163.538
38,164.076
39,164.312
40,164.356
41,164.531
42,164.618
43,164.692
44,164.824
45,164.926
46,165.095
47,165.613
48,166.001
49,166.286
50,167.086
51,167.689
52,167.841
53,169.081
54,169.529
55,169.892
56,171.082
57,171.541
58,172.124
59,172.376
60,172.492
61,172.542
62,172.589
63,172.681
64,172.857
65,173.077
66,173.276
67,173.403
68,173.497
69,173.639
70,174.317
71,174.382
72,174.800
73,174.974
74,175.475
75,176.033
76,176.508
77,176.867
78,177.192
79,177.687
80,177.965
81,179.053
82,179.241
83,179.694
84,183.654
85,308.214
86,310.765
87,317.194
88,328.953
89,343.595
90,379.802
91,442.512
92,473.758
93,552.025
94,570.117
95,604.118
96,627.540
97,694.805
98,729.933
99,796.330
100,799.952
