starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 13:52:47 2024	1716472367	53	33	86	24
Thu May 23 13:52:47 2024	1716472367	9	92	101	92
Thu May 23 13:52:47 2024	1716472367	9	94	103	94
Thu May 23 13:52:47 2024	1716472367	9	95	104	95
Thu May 23 13:52:47 2024	1716472367	9	96	105	96
Thu May 23 13:52:47 2024	1716472367	9	98	107	98
Thu May 23 13:52:47 2024	1716472367	9	99	108	99
Thu May 23 13:52:47 2024	1716472367	9	100	109	100
Thu May 23 13:52:47 2024	1716472367	9	102	111	102
Thu May 23 13:52:47 2024	1716472367	9	104	113	104
Thu May 23 13:52:47 2024	1716472367	9	105	114	105
Thu May 23 13:52:47 2024	1716472367	10	105	115	105
Thu May 23 13:52:47 2024	1716472367	10	105	115	105
Thu May 23 13:52:47 2024	1716472367	10	105	115	105
Thu May 23 13:52:47 2024	1716472367	10	105	115	105
Thu May 23 13:52:47 2024	1716472367	10	105	115	105
Thu May 23 13:52:47 2024	1716472367	10	106	116	106
Thu May 23 13:52:47 2024	1716472367	10	106	116	106
Thu May 23 13:52:47 2024	1716472367	10	106	116	106
Thu May 23 13:52:47 2024	1716472367	11	105	116	105
Thu May 23 13:52:47 2024	1716472367	11	106	116	106
Thu May 23 13:52:47 2024	1716472367	11	106	117	106
Thu May 23 13:52:47 2024	1716472367	11	106	117	106
Thu May 23 13:52:47 2024	1716472367	11	106	117	106
Thu May 23 13:52:47 2024	1716472367	11	106	117	106
Thu May 23 13:52:47 2024	1716472367	11	106	117	106
Thu May 23 13:52:47 2024	1716472367	11	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	106	118	106
Thu May 23 13:52:47 2024	1716472367	12	107	119	107
Thu May 23 13:52:47 2024	1716472367	12	107	119	107
Thu May 23 13:52:47 2024	1716472367	12	107	119	107
Thu May 23 13:52:47 2024	1716472367	13	106	119	106
Thu May 23 13:52:47 2024	1716472367	13	106	119	106
Thu May 23 13:52:47 2024	1716472367	13	106	120	106
Thu May 23 13:52:47 2024	1716472367	13	107	120	107
Thu May 23 13:52:47 2024	1716472367	13	107	120	107
Thu May 23 13:52:47 2024	1716472367	13	107	120	107
Thu May 23 13:52:47 2024	1716472367	13	107	120	107
Thu May 23 13:52:47 2024	1716472367	13	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	121	107
Thu May 23 13:52:47 2024	1716472367	14	107	122	107
Thu May 23 13:52:47 2024	1716472367	14	107	122	107
Thu May 23 13:52:47 2024	1716472367	14	108	122	108
Thu May 23 13:52:47 2024	1716472367	15	107	122	107
Thu May 23 13:52:47 2024	1716472367	15	107	122	107
Thu May 23 13:52:47 2024	1716472367	15	107	123	107
Thu May 23 13:52:47 2024	1716472367	15	108	123	108
Thu May 23 13:52:47 2024	1716472367	15	108	123	108
Thu May 23 13:52:47 2024	1716472367	15	108	123	108
Thu May 23 13:52:47 2024	1716472367	16	108	123	108
Thu May 23 13:52:47 2024	1716472367	16	108	124	108
Thu May 23 13:52:47 2024	1716472367	16	108	125	108
Thu May 23 13:52:47 2024	1716472367	17	108	125	108
Thu May 23 13:52:47 2024	1716472367	17	108	126	108
Thu May 23 13:52:47 2024	1716472367	17	108	126	108
Thu May 23 13:52:47 2024	1716472367	17	108	126	108
Thu May 23 13:52:47 2024	1716472367	18	109	126	109
Thu May 23 13:52:47 2024	1716472367	18	109	126	109
Thu May 23 13:52:47 2024	1716472367	18	109	127	109
Thu May 23 13:52:47 2024	1716472367	18	109	127	109
Thu May 23 13:52:47 2024	1716472367	18	109	127	109
Thu May 23 13:52:47 2024	1716472367	18	109	127	109
Thu May 23 13:52:47 2024	1716472367	19	109	127	109
Thu May 23 13:52:47 2024	1716472367	19	109	128	109
Thu May 23 13:52:47 2024	1716472367	19	109	128	109
Thu May 23 13:52:47 2024	1716472367	19	109	128	109
