Percentage served,Time in ms
0,290.102
1,367.685
2,409.745
3,445.248
4,481.233
5,501.354
6,511.457
7,514.549
8,517.034
9,520.486
10,521.566
11,522.289
12,523.012
13,524.313
14,525.572
15,526.623
16,527.657
17,528.166
18,528.853
19,529.340
20,529.753
21,530.113
22,530.471
23,530.825
24,531.399
25,532.763
26,536.244
27,540.250
28,547.865
29,552.785
30,554.383
31,557.663
32,560.175
33,563.179
34,566.601
35,568.542
36,570.764
37,572.803
38,573.970
39,574.850
40,575.670
41,576.434
42,577.393
43,578.150
44,579.385
45,580.181
46,581.068
47,582.241
48,583.370
49,586.379
50,588.221
51,592.330
52,602.186
53,606.031
54,608.011
55,609.864
56,611.313
57,613.617
58,614.753
59,615.824
60,617.014
61,619.365
62,622.480
63,626.381
64,627.400
65,628.386
66,629.140
67,630.601
68,632.619
69,634.412
70,636.382
71,637.606
72,639.626
73,641.942
74,643.908
75,646.320
76,649.771
77,721.230
78,805.953
79,967.174
80,1130.874
81,1221.872
82,1240.212
83,1268.923
84,1284.228
85,1308.823
86,1324.316
87,1336.039
88,1341.001
89,1435.375
90,1538.184
91,1586.229
92,1615.177
93,1649.186
94,1876.346
95,2188.457
96,2357.516
97,3555.375
98,3637.601
99,4373.775
100,8758.170
