starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 13:55:27 2024	1716472527	20	149	170	149
Thu May 23 13:55:27 2024	1716472527	20	150	170	150
Thu May 23 13:55:27 2024	1716472527	20	150	170	150
Thu May 23 13:55:27 2024	1716472527	20	150	171	150
Thu May 23 13:55:27 2024	1716472527	20	151	171	151
Thu May 23 13:55:27 2024	1716472527	21	151	171	151
Thu May 23 13:55:27 2024	1716472527	21	151	172	151
Thu May 23 13:55:27 2024	1716472527	21	151	172	151
Thu May 23 13:55:27 2024	1716472527	21	152	173	152
Thu May 23 13:55:27 2024	1716472527	21	152	173	152
Thu May 23 13:55:27 2024	1716472527	21	152	173	152
Thu May 23 13:55:27 2024	1716472527	21	152	174	152
Thu May 23 13:55:27 2024	1716472527	21	153	174	153
Thu May 23 13:55:27 2024	1716472527	21	153	174	153
Thu May 23 13:55:27 2024	1716472527	21	153	175	153
Thu May 23 13:55:27 2024	1716472527	102	73	175	64
Thu May 23 13:55:27 2024	1716472527	22	154	175	154
Thu May 23 13:55:27 2024	1716472527	22	154	176	154
Thu May 23 13:55:27 2024	1716472527	22	154	176	154
Thu May 23 13:55:27 2024	1716472527	22	154	176	154
Thu May 23 13:55:27 2024	1716472527	22	155	177	155
Thu May 23 13:55:27 2024	1716472527	22	155	177	155
Thu May 23 13:55:27 2024	1716472527	22	155	177	155
Thu May 23 13:55:27 2024	1716472527	22	155	178	155
Thu May 23 13:55:27 2024	1716472527	22	156	178	156
Thu May 23 13:55:27 2024	1716472527	22	156	179	156
Thu May 23 13:55:27 2024	1716472527	23	156	179	156
Thu May 23 13:55:27 2024	1716472527	23	157	179	157
Thu May 23 13:55:27 2024	1716472527	23	157	180	157
Thu May 23 13:55:27 2024	1716472527	23	157	180	157
Thu May 23 13:55:27 2024	1716472527	23	157	180	157
Thu May 23 13:55:27 2024	1716472527	23	158	181	158
Thu May 23 13:55:27 2024	1716472527	23	158	181	158
Thu May 23 13:55:27 2024	1716472527	23	158	181	158
Thu May 23 13:55:27 2024	1716472527	24	158	182	158
Thu May 23 13:55:27 2024	1716472527	24	159	182	159
