Percentage served,Time in ms
0,77.889
1,94.627
2,99.682
3,105.052
4,110.184
5,113.925
6,117.593
7,121.423
8,125.251
9,129.049
10,132.789
11,136.652
12,140.554
13,144.430
14,148.356
15,152.265
16,156.178
17,160.848
18,165.062
19,169.914
20,173.277
21,174.936
22,176.298
23,178.022
24,180.091
25,181.291
26,182.023
27,182.275
28,182.871
29,183.308
30,184.384
31,184.763
32,185.802
33,186.028
34,186.271
35,186.983
36,187.286
37,187.602
38,187.739
39,187.903
40,188.010
41,188.085
42,188.143
43,188.187
44,188.237
45,188.305
46,188.359
47,188.468
48,188.571
49,188.738
50,188.869
51,188.908
52,188.994
53,189.113
54,189.989
55,190.395
56,190.526
57,190.829
58,190.908
59,190.977
60,191.077
61,191.328
62,191.623
63,191.844
64,192.037
65,192.344
66,192.934
67,193.395
68,193.686
69,194.218
70,194.418
71,194.523
72,194.657
73,194.742
74,194.842
75,194.994
76,195.136
77,195.170
78,195.229
79,195.283
80,195.333
81,195.381
82,195.563
83,322.795
84,339.737
85,353.180
86,361.747
87,386.870
88,395.892
89,506.912
90,558.113
91,590.369
92,698.035
93,751.202
94,752.635
95,823.004
96,837.941
97,851.258
98,857.673
99,864.629
100,873.470
