starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:48:23 2024	1718545703	10	83	93	83
Sun Jun 16 13:48:23 2024	1718545703	10	83	93	83
Sun Jun 16 13:48:23 2024	1718545703	10	83	93	83
Sun Jun 16 13:48:23 2024	1718545703	10	83	93	83
Sun Jun 16 13:48:23 2024	1718545703	10	83	93	83
Sun Jun 16 13:48:23 2024	1718545703	10	84	93	84
Sun Jun 16 13:48:23 2024	1718545703	10	84	94	84
Sun Jun 16 13:48:23 2024	1718545703	10	84	94	84
Sun Jun 16 13:48:23 2024	1718545703	12	81	94	81
Sun Jun 16 13:48:23 2024	1718545703	13	81	94	81
Sun Jun 16 13:48:23 2024	1718545703	13	81	94	81
Sun Jun 16 13:48:23 2024	1718545703	13	81	94	81
Sun Jun 16 13:48:23 2024	1718545703	13	81	94	81
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	95	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	96	82
Sun Jun 16 13:48:23 2024	1718545703	13	82	96	82
Sun Jun 16 13:48:23 2024	1718545703	13	83	96	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	96	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	96	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	97	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	97	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	97	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	97	83
Sun Jun 16 13:48:23 2024	1718545703	14	83	97	83
Sun Jun 16 13:48:23 2024	1718545703	14	84	97	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	98	84
Sun Jun 16 13:48:23 2024	1718545703	14	84	99	84
Sun Jun 16 13:48:23 2024	1718545703	14	85	99	85
Sun Jun 16 13:48:23 2024	1718545703	14	85	99	85
Sun Jun 16 13:48:23 2024	1718545703	14	85	99	85
Sun Jun 16 13:48:23 2024	1718545703	14	85	99	85
Sun Jun 16 13:48:23 2024	1718545703	14	85	99	85
Sun Jun 16 13:48:23 2024	1718545703	14	85	100	85
Sun Jun 16 13:48:23 2024	1718545703	15	85	100	85
Sun Jun 16 13:48:23 2024	1718545703	15	85	100	85
Sun Jun 16 13:48:23 2024	1718545703	15	86	100	86
Sun Jun 16 13:48:23 2024	1718545703	15	86	100	86
