starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	1
Sun Jun 16 13:48:42 2024	1718545722	11	1	12	1
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	2	12	2
Sun Jun 16 13:48:42 2024	1718545722	10	3	13	3
Sun Jun 16 13:48:42 2024	1718545722	10	3	13	3
Sun Jun 16 13:48:42 2024	1718545722	10	3	13	3
Sun Jun 16 13:48:42 2024	1718545722	10	3	13	3
Sun Jun 16 13:48:42 2024	1718545722	10	3	13	3
Sun Jun 16 13:48:42 2024	1718545722	10	4	14	4
Sun Jun 16 13:48:42 2024	1718545722	10	4	14	4
Sun Jun 16 13:48:42 2024	1718545722	10	4	14	4
Sun Jun 16 13:48:42 2024	1718545722	10	4	14	4
Sun Jun 16 13:48:42 2024	1718545722	10	4	14	4
Sun Jun 16 13:48:42 2024	1718545722	10	5	14	5
Sun Jun 16 13:48:42 2024	1718545722	10	5	15	5
Sun Jun 16 13:48:42 2024	1718545722	10	5	15	5
