Percentage served,Time in ms
0,21.047
1,28.533
2,35.411
3,44.771
4,56.233
5,68.319
6,77.964
7,80.400
8,83.766
9,87.507
10,90.694
11,94.306
12,97.732
13,100.878
14,104.065
15,107.459
16,110.897
17,113.935
18,117.288
19,120.551
20,124.120
21,127.299
22,127.951
23,128.941
24,129.654
25,129.871
26,130.103
27,130.162
28,130.230
29,130.252
30,130.435
31,130.497
32,130.556
33,130.720
34,130.894
35,131.019
36,131.110
37,131.187
38,131.280
39,131.305
40,131.358
41,131.439
42,131.587
43,131.720
44,132.229
45,132.408
46,132.616
47,132.760
48,133.051
49,133.459
50,133.504
51,133.550
52,133.600
53,133.757
54,134.038
55,134.180
56,134.266
57,134.407
58,134.505
59,134.789
60,134.840
61,135.251
62,135.721
63,136.117
64,136.282
65,136.783
66,136.907
67,136.984
68,137.029
69,137.387
70,137.460
71,137.754
72,137.860
73,137.918
74,137.948
75,137.985
76,138.063
77,138.135
78,138.515
79,139.737
80,140.304
81,141.426
82,142.709
83,144.433
84,145.764
85,146.460
86,148.146
87,151.800
88,152.068
89,287.224
90,293.602
91,304.058
92,323.259
93,341.012
94,358.197
95,402.575
96,405.368
97,425.635
98,597.729
99,625.510
100,632.096
