starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:47:01 2024	1718545621	14	208	222	208
Sun Jun 16 13:47:01 2024	1718545621	14	208	223	208
Sun Jun 16 13:47:01 2024	1718545621	14	209	223	209
Sun Jun 16 13:47:01 2024	1718545621	14	209	224	209
Sun Jun 16 13:47:01 2024	1718545621	14	210	224	210
Sun Jun 16 13:47:01 2024	1718545621	14	210	225	210
Sun Jun 16 13:47:01 2024	1718545621	15	211	225	211
Sun Jun 16 13:47:01 2024	1718545621	15	211	226	211
Sun Jun 16 13:47:01 2024	1718545621	15	212	226	212
Sun Jun 16 13:47:01 2024	1718545621	15	212	227	212
Sun Jun 16 13:47:01 2024	1718545621	15	212	227	212
Sun Jun 16 13:47:01 2024	1718545621	15	213	228	213
Sun Jun 16 13:47:01 2024	1718545621	15	213	228	213
Sun Jun 16 13:47:01 2024	1718545621	15	214	229	214
Sun Jun 16 13:47:01 2024	1718545621	15	214	230	214
Sun Jun 16 13:47:01 2024	1718545621	15	215	230	215
Sun Jun 16 13:47:01 2024	1718545621	16	215	231	215
Sun Jun 16 13:47:01 2024	1718545621	16	215	231	215
Sun Jun 16 13:47:01 2024	1718545621	16	216	232	216
Sun Jun 16 13:47:01 2024	1718545621	16	216	232	216
Sun Jun 16 13:47:01 2024	1718545621	16	217	233	217
Sun Jun 16 13:47:01 2024	1718545621	16	217	233	217
Sun Jun 16 13:47:01 2024	1718545621	16	218	234	218
Sun Jun 16 13:47:01 2024	1718545621	16	218	234	218
Sun Jun 16 13:47:01 2024	1718545621	16	219	235	219
Sun Jun 16 13:47:01 2024	1718545621	16	219	235	219
Sun Jun 16 13:47:01 2024	1718545621	16	219	236	219
Sun Jun 16 13:47:01 2024	1718545621	17	220	236	220
Sun Jun 16 13:47:01 2024	1718545621	17	220	237	220
Sun Jun 16 13:47:01 2024	1718545621	17	221	237	221
Sun Jun 16 13:47:01 2024	1718545621	17	221	238	221
Sun Jun 16 13:47:01 2024	1718545621	17	221	238	221
Sun Jun 16 13:47:01 2024	1718545621	17	222	239	222
Sun Jun 16 13:47:01 2024	1718545621	17	222	239	222
Sun Jun 16 13:47:01 2024	1718545621	17	223	240	223
Sun Jun 16 13:47:01 2024	1718545621	17	223	240	223
Sun Jun 16 13:47:01 2024	1718545621	18	223	241	223
Sun Jun 16 13:47:01 2024	1718545621	18	224	242	224
Sun Jun 16 13:47:01 2024	1718545621	175	67	242	58
Sun Jun 16 13:47:01 2024	1718545621	18	224	242	224
Sun Jun 16 13:47:01 2024	1718545621	18	225	243	225
Sun Jun 16 13:47:01 2024	1718545621	18	225	243	225
Sun Jun 16 13:47:01 2024	1718545621	18	226	244	226
Sun Jun 16 13:47:01 2024	1718545621	18	226	244	226
Sun Jun 16 13:47:01 2024	1718545621	18	226	245	226
