Percentage served,Time in ms
0,232.812
1,246.811
2,260.787
3,274.517
4,288.058
5,302.030
6,316.145
7,331.424
8,345.535
9,359.496
10,374.307
11,389.010
12,403.070
13,417.666
14,432.187
15,446.706
16,461.540
17,477.863
18,494.430
19,510.732
20,561.497
21,565.372
22,567.161
23,567.801
24,568.538
25,569.205
26,569.742
27,570.190
28,570.534
29,571.003
30,571.447
31,571.800
32,572.065
33,572.298
34,572.458
35,572.616
36,572.771
37,572.977
38,573.109
39,573.346
40,573.585
41,574.128
42,574.452
43,574.922
44,575.261
45,575.593
46,576.117
47,576.567
48,577.080
49,577.380
50,577.823
51,578.098
52,578.546
53,578.744
54,579.127
55,579.495
56,580.030
57,580.743
58,581.019
59,581.622
60,582.148
61,582.399
62,582.730
63,583.559
64,584.592
65,587.457
66,588.566
67,590.138
68,591.717
69,592.395
70,593.117
71,594.238
72,594.501
73,594.885
74,596.354
75,596.728
76,597.317
77,677.307
78,739.811
79,882.573
80,924.132
81,1031.354
82,1044.939
83,1061.039
84,1095.620
85,1121.004
86,1142.611
87,1167.924
88,1265.848
89,1269.346
90,1280.664
91,1290.841
92,1293.626
93,1420.985
94,1577.132
95,1593.681
96,1735.996
97,1843.398
98,2292.420
99,2449.568
100,2796.855
