Percentage served,Time in ms
0,10.617
1,53.942
2,55.384
3,58.871
4,60.069
5,61.000
6,61.710
7,63.877
8,64.264
9,64.818
10,67.384
11,68.125
12,70.769
13,84.214
14,87.842
15,88.805
16,89.213
17,89.590
18,89.709
19,90.013
20,90.335
21,90.816
22,91.170
23,91.750
24,92.493
25,94.940
26,95.652
27,96.357
28,96.955
29,97.726
30,98.817
31,99.279
32,100.081
33,100.465
34,100.549
35,100.823
36,103.074
37,104.311
38,105.624
39,105.951
40,106.281
41,106.666
42,106.974
43,107.529
44,108.915
45,110.869
46,111.152
47,111.332
48,111.596
49,112.023
50,112.464
51,112.792
52,113.075
53,114.445
54,115.512
55,116.057
56,116.799
57,121.540
58,122.840
59,123.459
60,124.030
61,124.617
62,125.080
63,125.749
64,126.136
65,126.729
66,127.314
67,128.030
68,128.942
69,129.883
70,130.442
71,130.646
72,130.968
73,131.266
74,132.274
75,132.817
76,133.366
77,133.846
78,134.334
79,134.989
80,135.579
81,136.383
82,137.138
83,137.941
84,138.939
85,139.778
86,140.490
87,141.090
88,142.121
89,145.060
90,149.941
91,151.081
92,152.215
93,153.288
94,154.218
95,155.138
96,155.962
97,156.807
98,314.200
99,316.110
100,326.482
