starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:49:05 2024	1718545745	2	20	22	20
Sun Jun 16 13:49:05 2024	1718545745	18	4	22	4
Sun Jun 16 13:49:05 2024	1718545745	23	11	34	11
Sun Jun 16 13:49:05 2024	1718545745	7	29	37	29
Sun Jun 16 13:49:05 2024	1718545745	8	29	37	29
Sun Jun 16 13:49:05 2024	1718545745	8	29	37	29
Sun Jun 16 13:49:05 2024	1718545745	15	22	37	22
Sun Jun 16 13:49:05 2024	1718545745	13	25	38	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	38	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	38	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	38	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	13	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	14	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	14	25	39	25
Sun Jun 16 13:49:05 2024	1718545745	4	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	15	25	40	25
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	15	25	40	25
Sun Jun 16 13:49:05 2024	1718545745	15	25	40	25
Sun Jun 16 13:49:05 2024	1718545745	15	25	40	25
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	15	25	40	25
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	40	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	5	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	16	25	41	25
Sun Jun 16 13:49:05 2024	1718545745	20	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	6	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	6	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	16	25	41	25
Sun Jun 16 13:49:05 2024	1718545745	6	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	6	35	41	35
Sun Jun 16 13:49:05 2024	1718545745	16	25	41	25
Sun Jun 16 13:49:05 2024	1718545745	10	31	41	21
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	12	29	41	29
Sun Jun 16 13:49:05 2024	1718545745	22	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	22	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	21	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	22	20	41	20
Sun Jun 16 13:49:05 2024	1718545745	12	29	41	29
Sun Jun 16 13:49:05 2024	1718545745	12	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	12	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	18	24	42	24
Sun Jun 16 13:49:05 2024	1718545745	18	24	42	24
Sun Jun 16 13:49:05 2024	1718545745	18	24	42	24
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	18	24	42	24
Sun Jun 16 13:49:05 2024	1718545745	17	26	42	25
Sun Jun 16 13:49:05 2024	1718545745	17	26	42	26
Sun Jun 16 13:49:05 2024	1718545745	16	26	42	26
Sun Jun 16 13:49:05 2024	1718545745	17	26	42	26
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	13	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	20
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	20
Sun Jun 16 13:49:05 2024	1718545745	14	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	20
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	20
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	20
Sun Jun 16 13:49:05 2024	1718545745	14	29	42	29
Sun Jun 16 13:49:05 2024	1718545745	23	19	42	19
Sun Jun 16 13:49:05 2024	1718545745	23	19	42	19
Sun Jun 16 13:49:05 2024	1718545745	23	19	42	19
Sun Jun 16 13:49:05 2024	1718545745	23	19	42	19
Sun Jun 16 13:49:05 2024	1718545745	23	20	42	19
Sun Jun 16 13:49:05 2024	1718545745	23	20	43	20
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	28
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	14	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	15	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	15	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	15	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	15	29	43	29
Sun Jun 16 13:49:05 2024	1718545745	15	29	43	28
Sun Jun 16 13:49:05 2024	1718545745	15	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	15	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	15	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	15	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	16	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	16	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	16	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	16	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	16	28	44	28
Sun Jun 16 13:49:05 2024	1718545745	28	20	47	20
Sun Jun 16 13:49:05 2024	1718545745	28	20	47	20
Sun Jun 16 13:49:05 2024	1718545745	28	20	48	20
Sun Jun 16 13:49:05 2024	1718545745	28	20	48	20
Sun Jun 16 13:49:05 2024	1718545745	28	20	48	20
Sun Jun 16 13:49:05 2024	1718545745	28	20	48	20
Sun Jun 16 13:49:05 2024	1718545745	28	19	48	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	30	19	49	19
Sun Jun 16 13:49:05 2024	1718545745	29	20	49	20
Sun Jun 16 13:49:05 2024	1718545745	17	33	49	33
Sun Jun 16 13:49:05 2024	1718545745	20	30	50	30
Sun Jun 16 13:49:05 2024	1718545745	24	26	50	26
Sun Jun 16 13:49:05 2024	1718545745	25	31	56	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	26	31	57	31
Sun Jun 16 13:49:05 2024	1718545745	17	42	58	42
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	15	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	18	41	59	41
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	18	41	59	41
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	18	41	59	41
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	18	41	59	41
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	18	41	59	41
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	42	59	42
Sun Jun 16 13:49:05 2024	1718545745	16	43	59	43
Sun Jun 16 13:49:05 2024	1718545745	17	42	59	42
