Percentage served,Time in ms
0,11.222
1,11.231
2,12.490
3,21.073
4,32.034
5,44.614
6,56.624
7,72.942
8,86.361
9,90.545
10,95.057
11,99.287
12,103.808
13,107.956
14,112.398
15,116.975
16,121.271
17,125.784
18,130.665
19,135.707
20,140.262
21,144.881
22,149.362
23,150.586
24,151.544
25,152.199
26,152.285
27,152.602
28,152.776
29,152.978
30,153.061
31,153.159
32,153.247
33,153.564
34,153.700
35,154.136
36,154.405
37,154.858
38,155.318
39,156.194
40,156.553
41,156.573
42,156.880
43,157.404
44,157.698
45,157.902
46,158.102
47,158.485
48,159.022
49,159.345
50,159.650
51,159.976
52,160.710
53,160.890
54,161.053
55,161.129
56,161.411
57,161.967
58,162.944
59,163.229
60,163.363
61,163.585
62,163.793
63,164.205
64,164.621
65,164.699
66,164.827
67,165.108
68,165.287
69,165.728
70,166.138
71,166.847
72,166.950
73,167.245
74,167.410
75,167.505
76,167.696
77,167.900
78,168.846
79,169.014
80,169.269
81,169.575
82,169.669
83,170.041
84,170.417
85,171.084
86,172.594
87,303.032
88,305.702
89,313.482
90,320.737
91,341.942
92,363.432
93,405.268
94,439.459
95,476.938
96,543.788
97,562.141
98,616.751
99,658.050
100,734.038
