starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:49:41 2024	1718545781	10	76	86	76
Sun Jun 16 13:49:41 2024	1718545781	10	77	87	77
Sun Jun 16 13:49:41 2024	1718545781	10	79	88	79
Sun Jun 16 13:49:41 2024	1718545781	10	80	90	80
Sun Jun 16 13:49:41 2024	1718545781	10	81	90	81
Sun Jun 16 13:49:41 2024	1718545781	10	82	92	82
Sun Jun 16 13:49:41 2024	1718545781	10	83	93	83
Sun Jun 16 13:49:41 2024	1718545781	10	84	94	84
Sun Jun 16 13:49:41 2024	1718545781	10	85	95	85
Sun Jun 16 13:49:41 2024	1718545781	10	87	97	87
Sun Jun 16 13:49:41 2024	1718545781	10	88	98	88
Sun Jun 16 13:49:41 2024	1718545781	10	90	99	90
Sun Jun 16 13:49:41 2024	1718545781	10	91	101	91
Sun Jun 16 13:49:41 2024	1718545781	10	92	102	92
Sun Jun 16 13:49:41 2024	1718545781	10	93	103	93
Sun Jun 16 13:49:41 2024	1718545781	10	94	104	94
Sun Jun 16 13:49:41 2024	1718545781	10	95	105	95
Sun Jun 16 13:49:41 2024	1718545781	10	96	106	96
Sun Jun 16 13:49:41 2024	1718545781	10	98	107	98
Sun Jun 16 13:49:41 2024	1718545781	10	99	109	99
Sun Jun 16 13:49:41 2024	1718545781	10	100	109	100
Sun Jun 16 13:49:41 2024	1718545781	10	101	111	101
Sun Jun 16 13:49:41 2024	1718545781	10	102	112	102
Sun Jun 16 13:49:41 2024	1718545781	10	103	113	103
Sun Jun 16 13:49:41 2024	1718545781	10	104	114	104
Sun Jun 16 13:49:41 2024	1718545781	10	105	115	105
Sun Jun 16 13:49:41 2024	1718545781	10	106	116	106
Sun Jun 16 13:49:41 2024	1718545781	10	106	116	106
Sun Jun 16 13:49:41 2024	1718545781	10	106	116	106
Sun Jun 16 13:49:41 2024	1718545781	10	106	116	106
Sun Jun 16 13:49:41 2024	1718545781	10	106	117	106
Sun Jun 16 13:49:41 2024	1718545781	10	107	117	107
Sun Jun 16 13:49:41 2024	1718545781	10	107	117	107
Sun Jun 16 13:49:41 2024	1718545781	10	107	117	107
Sun Jun 16 13:49:41 2024	1718545781	10	107	117	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	117	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	118	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	118	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	118	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	118	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	118	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	119	107
Sun Jun 16 13:49:41 2024	1718545781	11	107	119	107
Sun Jun 16 13:49:41 2024	1718545781	12	107	119	107
Sun Jun 16 13:49:41 2024	1718545781	12	107	119	107
Sun Jun 16 13:49:41 2024	1718545781	12	107	120	107
Sun Jun 16 13:49:41 2024	1718545781	13	107	120	107
Sun Jun 16 13:49:41 2024	1718545781	13	107	120	107
Sun Jun 16 13:49:41 2024	1718545781	13	107	120	107
Sun Jun 16 13:49:41 2024	1718545781	13	108	120	108
Sun Jun 16 13:49:41 2024	1718545781	13	108	121	108
Sun Jun 16 13:49:41 2024	1718545781	14	107	121	107
Sun Jun 16 13:49:41 2024	1718545781	14	107	121	107
Sun Jun 16 13:49:41 2024	1718545781	14	107	121	107
Sun Jun 16 13:49:41 2024	1718545781	14	108	121	108
Sun Jun 16 13:49:41 2024	1718545781	14	108	122	108
Sun Jun 16 13:49:41 2024	1718545781	14	108	122	108
Sun Jun 16 13:49:41 2024	1718545781	14	108	122	108
Sun Jun 16 13:49:41 2024	1718545781	14	108	122	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	122	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	123	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	123	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	123	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	123	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	123	108
Sun Jun 16 13:49:41 2024	1718545781	15	108	124	108
Sun Jun 16 13:49:41 2024	1718545781	15	109	124	109
Sun Jun 16 13:49:41 2024	1718545781	16	108	124	108
Sun Jun 16 13:49:41 2024	1718545781	16	108	124	108
Sun Jun 16 13:49:41 2024	1718545781	16	108	124	108
Sun Jun 16 13:49:41 2024	1718545781	16	108	125	108
Sun Jun 16 13:49:41 2024	1718545781	16	109	125	109
Sun Jun 16 13:49:41 2024	1718545781	16	109	125	109
Sun Jun 16 13:49:41 2024	1718545781	16	109	125	109
Sun Jun 16 13:49:41 2024	1718545781	17	109	125	109
Sun Jun 16 13:49:41 2024	1718545781	17	108	126	108
Sun Jun 16 13:49:41 2024	1718545781	17	109	126	109
Sun Jun 16 13:49:41 2024	1718545781	17	109	126	109
Sun Jun 16 13:49:41 2024	1718545781	17	109	126	109
Sun Jun 16 13:49:41 2024	1718545781	17	109	126	109
Sun Jun 16 13:49:41 2024	1718545781	18	109	127	109
Sun Jun 16 13:49:41 2024	1718545781	18	109	127	109
Sun Jun 16 13:49:41 2024	1718545781	18	109	127	109
Sun Jun 16 13:49:41 2024	1718545781	18	109	127	109
Sun Jun 16 13:49:41 2024	1718545781	18	109	127	109
Sun Jun 16 13:49:41 2024	1718545781	19	109	128	109
Sun Jun 16 13:49:41 2024	1718545781	19	109	128	109
Sun Jun 16 13:49:41 2024	1718545781	19	109	128	109
Sun Jun 16 13:49:41 2024	1718545781	19	110	128	110
Sun Jun 16 13:49:41 2024	1718545781	19	110	128	110
Sun Jun 16 13:49:41 2024	1718545781	19	110	129	110
Sun Jun 16 13:49:41 2024	1718545781	20	109	129	109
Sun Jun 16 13:49:41 2024	1718545781	20	109	129	109
Sun Jun 16 13:49:41 2024	1718545781	20	109	129	109
Sun Jun 16 13:49:41 2024	1718545781	20	110	129	110
Sun Jun 16 13:49:41 2024	1718545781	20	110	130	110
Sun Jun 16 13:49:41 2024	1718545781	20	110	130	110
Sun Jun 16 13:49:41 2024	1718545781	20	110	130	110
Sun Jun 16 13:49:41 2024	1718545781	20	110	130	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	130	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	131	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	131	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	131	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	131	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	131	110
Sun Jun 16 13:49:41 2024	1718545781	21	110	132	110
Sun Jun 16 13:49:41 2024	1718545781	21	111	132	111
Sun Jun 16 13:49:41 2024	1718545781	21	111	132	111
Sun Jun 16 13:49:41 2024	1718545781	22	110	132	110
Sun Jun 16 13:49:41 2024	1718545781	22	110	132	110
Sun Jun 16 13:49:41 2024	1718545781	22	110	133	110
Sun Jun 16 13:49:41 2024	1718545781	22	110	133	110
Sun Jun 16 13:49:41 2024	1718545781	22	111	133	111
Sun Jun 16 13:49:41 2024	1718545781	22	111	133	111
Sun Jun 16 13:49:41 2024	1718545781	23	111	133	111
Sun Jun 16 13:49:41 2024	1718545781	23	111	134	111
Sun Jun 16 13:49:41 2024	1718545781	23	110	134	110
Sun Jun 16 13:49:41 2024	1718545781	23	110	134	110
Sun Jun 16 13:49:41 2024	1718545781	24	111	134	111
Sun Jun 16 13:49:41 2024	1718545781	24	111	134	111
Sun Jun 16 13:49:41 2024	1718545781	24	111	135	111
Sun Jun 16 13:49:41 2024	1718545781	24	111	135	111
Sun Jun 16 13:49:41 2024	1718545781	24	111	135	111
Sun Jun 16 13:49:41 2024	1718545781	24	111	135	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	135	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	136	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	136	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	136	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	136	111
Sun Jun 16 13:49:41 2024	1718545781	25	111	136	111
Sun Jun 16 13:49:41 2024	1718545781	25	112	137	112
Sun Jun 16 13:49:41 2024	1718545781	25	112	137	112
Sun Jun 16 13:49:41 2024	1718545781	26	111	137	111
Sun Jun 16 13:49:41 2024	1718545781	26	111	137	111
Sun Jun 16 13:49:41 2024	1718545781	26	111	137	111
Sun Jun 16 13:49:41 2024	1718545781	26	111	138	111
Sun Jun 16 13:49:41 2024	1718545781	26	112	138	112
Sun Jun 16 13:49:41 2024	1718545781	26	112	138	112
Sun Jun 16 13:49:41 2024	1718545781	26	112	138	112
Sun Jun 16 13:49:41 2024	1718545781	27	112	139	112
Sun Jun 16 13:49:41 2024	1718545781	27	111	139	111
Sun Jun 16 13:49:41 2024	1718545781	27	112	139	112
Sun Jun 16 13:49:41 2024	1718545781	27	112	139	112
Sun Jun 16 13:49:41 2024	1718545781	28	112	139	112
Sun Jun 16 13:49:41 2024	1718545781	28	112	139	112
Sun Jun 16 13:49:41 2024	1718545781	28	112	140	112
Sun Jun 16 13:49:41 2024	1718545781	28	112	140	112
Sun Jun 16 13:49:41 2024	1718545781	28	112	140	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	140	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	140	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	141	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	141	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	141	112
Sun Jun 16 13:49:41 2024	1718545781	29	112	141	112
Sun Jun 16 13:49:41 2024	1718545781	29	113	142	113
Sun Jun 16 13:49:41 2024	1718545781	29	113	142	113
Sun Jun 16 13:49:41 2024	1718545781	30	112	142	112
Sun Jun 16 13:49:41 2024	1718545781	30	112	142	112
Sun Jun 16 13:49:41 2024	1718545781	30	112	142	112
Sun Jun 16 13:49:41 2024	1718545781	30	113	143	113
Sun Jun 16 13:49:41 2024	1718545781	30	113	143	113
Sun Jun 16 13:49:41 2024	1718545781	30	113	143	113
Sun Jun 16 13:49:41 2024	1718545781	30	113	143	113
Sun Jun 16 13:49:41 2024	1718545781	31	113	144	113
Sun Jun 16 13:49:41 2024	1718545781	31	113	144	113
Sun Jun 16 13:49:41 2024	1718545781	31	113	144	113
Sun Jun 16 13:49:41 2024	1718545781	31	113	144	113
Sun Jun 16 13:49:41 2024	1718545781	32	113	144	113
Sun Jun 16 13:49:41 2024	1718545781	32	113	145	113
Sun Jun 16 13:49:41 2024	1718545781	32	113	145	113
Sun Jun 16 13:49:41 2024	1718545781	32	113	145	113
Sun Jun 16 13:49:41 2024	1718545781	32	113	145	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	145	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	146	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	146	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	146	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	146	113
Sun Jun 16 13:49:41 2024	1718545781	33	113	147	113
Sun Jun 16 13:49:41 2024	1718545781	33	114	147	114
Sun Jun 16 13:49:41 2024	1718545781	33	114	147	114
Sun Jun 16 13:49:41 2024	1718545781	34	113	147	113
Sun Jun 16 13:49:41 2024	1718545781	34	113	147	113
Sun Jun 16 13:49:41 2024	1718545781	34	113	148	113
Sun Jun 16 13:49:41 2024	1718545781	34	113	148	113
Sun Jun 16 13:49:41 2024	1718545781	34	114	148	114
Sun Jun 16 13:49:41 2024	1718545781	34	114	148	114
Sun Jun 16 13:49:41 2024	1718545781	35	114	149	114
Sun Jun 16 13:49:41 2024	1718545781	35	114	149	114
Sun Jun 16 13:49:41 2024	1718545781	35	114	149	114
Sun Jun 16 13:49:41 2024	1718545781	35	114	149	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	149	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	150	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	150	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	150	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	150	114
Sun Jun 16 13:49:41 2024	1718545781	36	114	150	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	151	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	151	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	151	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	151	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	151	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	152	114
Sun Jun 16 13:49:41 2024	1718545781	37	114	152	114
Sun Jun 16 13:49:41 2024	1718545781	38	115	152	115
Sun Jun 16 13:49:41 2024	1718545781	38	114	152	114
Sun Jun 16 13:49:41 2024	1718545781	38	114	152	114
Sun Jun 16 13:49:41 2024	1718545781	39	114	153	114
Sun Jun 16 13:49:41 2024	1718545781	39	114	153	114
Sun Jun 16 13:49:41 2024	1718545781	39	114	153	114
Sun Jun 16 13:49:41 2024	1718545781	39	115	153	115
Sun Jun 16 13:49:41 2024	1718545781	39	115	154	115
Sun Jun 16 13:49:41 2024	1718545781	39	115	154	115
Sun Jun 16 13:49:41 2024	1718545781	40	114	154	114
Sun Jun 16 13:49:41 2024	1718545781	40	114	154	114
Sun Jun 16 13:49:41 2024	1718545781	40	114	154	114
Sun Jun 16 13:49:41 2024	1718545781	40	115	155	115
Sun Jun 16 13:49:41 2024	1718545781	40	115	155	115
Sun Jun 16 13:49:41 2024	1718545781	40	115	155	115
Sun Jun 16 13:49:41 2024	1718545781	40	115	155	115
Sun Jun 16 13:49:41 2024	1718545781	40	115	156	115
Sun Jun 16 13:49:41 2024	1718545781	41	115	156	115
Sun Jun 16 13:49:41 2024	1718545781	41	115	156	115
Sun Jun 16 13:49:41 2024	1718545781	41	115	156	115
Sun Jun 16 13:49:41 2024	1718545781	42	115	157	115
Sun Jun 16 13:49:41 2024	1718545781	42	115	157	115
Sun Jun 16 13:49:41 2024	1718545781	42	115	157	115
Sun Jun 16 13:49:41 2024	1718545781	42	116	157	116
Sun Jun 16 13:49:41 2024	1718545781	42	116	158	116
