Native,ebpfjit (unchecked),ebpfjit (virtual memory),Wasmtime (Cranelift),ebpfjit (simple checks)
11,12,11,12,192
11,12,11,13,192
11,12,11,13,193
11,12,11,13,193
11,12,11,13,194
11,12,11,13,194
11,12,11,13,195
11,12,11,13,195
11,12,11,13,196
11,12,11,13,196
11,12,11,13,197
11,12,11,13,197
11,12,11,13,197
11,12,11,13,198
11,12,11,13,198
11,12,11,13,199
11,12,11,13,199
11,12,11,13,200
11,12,11,13,200
11,12,11,14,201
11,12,11,14,201
11,12,11,15,202
11,12,11,16,202
11,12,11,17,203
11,12,11,17,203
11,12,11,18,204
11,12,11,19,204
11,12,11,20,205
11,12,11,21,205
11,12,11,22,206
11,12,11,23,206
11,12,11,24,207
11,12,11,25,207
11,12,11,26,208
11,12,11,27,208
11,12,11,28,208
11,12,11,29,209
11,12,11,29,209
11,12,11,30,210
11,12,11,31,210
11,12,11,32,211
11,12,11,33,211
11,12,12,33,212
11,12,12,34,212
11,12,12,35,213
11,12,12,36,213
11,12,13,37,214
11,12,13,38,214
11,12,13,39,215
11,12,13,39,215
11,12,13,40,216
11,12,14,41,216
11,12,14,42,217
12,12,14,43,217
12,12,14,44,218
12,12,15,45,218
12,12,15,46,219
12,12,15,47,219
12,12,15,48,221
13,12,16,49,231
13,12,16,50,231
13,12,16,51,231
13,12,16,52,232
14,12,17,53,232
14,12,17,54,233
14,12,17,55,233
14,12,18,56,234
14,12,18,57,234
14,12,18,58,235
15,12,18,59,235
15,12,18,60,236
15,12,19,61,236
15,12,19,62,237
16,12,19,62,237
16,12,20,63,238
16,12,20,65,238
16,12,20,65,239
17,13,21,66,239
17,13,21,67,239
17,13,21,68,240
17,13,21,69,240
18,13,22,70,241
18,14,22,71,241
18,14,22,72,242
18,14,23,73,242
19,14,23,74,243
19,14,23,75,243
19,14,24,75,244
19,15,24,77,244
19,15,24,77,245
20,15,24,78,245
20,15,24,80,246
20,16,25,81,246
20,16,25,82,246
21,16,26,83,247
21,16,26,84,247
21,16,27,85,248
22,17,27,85,248
22,17,27,87,249
22,17,28,88,249
22,17,28,89,250
22,17,29,90,250
23,18,29,91,250
23,18,29,93,251
23,18,30,94,251
24,18,30,96,252
24,19,31,98,252
24,19,31,99,253
25,19,31,101,253
25,19,31,102,254
25,20,32,104,254
25,20,32,106,255
26,20,33,108,255
26,20,33,109,255
26,21,34,110,256
26,21,34,111,256
27,21,35,112,257
27,21,35,113,257
27,21,36,115,258
28,22,36,116,258
28,22,37,117,259
29,22,37,118,259
29,22,37,119,260
29,22,38,120,260
30,23,38,121,261
30,23,39,123,261
30,23,39,123,262
31,23,40,125,262
31,23,40,126,263
32,24,41,127,263
32,24,41,129,263
32,24,42,130,264
33,24,43,131,265
33,24,43,132,265
34,24,43,133,265
34,25,44,135,266
35,25,44,136,266
35,25,45,137,267
35,25,45,137,267
36,26,46,139,268
36,26,46,140,268
36,26,47,141,269
37,27,47,141,269
37,27,48,141,269
37,27,48,141,270
38,27,49,142,270
39,28,49,142,271
39,28,50,142,272
40,28,50,142,272
40,28,51,143,273
41,29,51,143,273
41,29,52,143,274
42,29,53,144,274
42,30,53,144,275
43,30,54,144,275
43,31,54,144,276
43,31,55,144,276
44,31,55,145,276
44,32,56,145,277
44,32,57,145,277
45,33,57,146,278
46,33,58,146,278
46,33,58,146,279
46,34,58,146,279
47,35,59,146,279
47,35,60,147,280
48,35,61,147,280
48,36,61,147,281
49,36,62,148,281
49,37,63,148,282
49,37,63,148,282
50,38,64,148,283
50,38,64,149,283
50,39,65,149,283
51,39,65,149,284
51,39,66,149,284
51,40,66,150,285
51,40,67,150,285
52,41,68,150,286
52,41,68,150,286
52,41,70,151,286
53,42,71,151,287
53,42,71,151,287
54,42,73,151,288
54,43,75,151,288
55,43,77,152,289
