Percentage served,Time in ms
0,149.795
1,157.967
2,166.021
3,174.046
4,182.300
5,190.353
6,200.604
7,208.660
8,216.803
9,224.794
10,232.463
11,242.290
12,250.619
13,258.974
14,267.226
15,277.063
16,285.359
17,293.595
18,301.952
19,316.004
20,321.415
21,322.656
22,324.632
23,326.450
24,327.225
25,327.607
26,330.090
27,332.381
28,333.293
29,333.480
30,333.804
31,334.132
32,334.422
33,334.928
34,335.249
35,335.494
36,335.637
37,335.716
38,335.819
39,335.913
40,336.045
41,336.127
42,336.222
43,336.289
44,336.385
45,336.460
46,336.578
47,336.684
48,336.833
49,337.000
50,337.123
51,337.260
52,337.358
53,337.484
54,337.638
55,337.768
56,337.877
57,338.029
58,338.369
59,338.654
60,338.757
61,338.907
62,339.173
63,339.399
64,339.610
65,339.832
66,339.999
67,340.323
68,340.945
69,341.194
70,341.440
71,342.098
72,342.354
73,342.568
74,342.718
75,342.949
76,343.477
77,343.924
78,344.401
79,344.905
80,345.149
81,345.353
82,345.628
83,469.968
84,480.505
85,549.812
86,554.716
87,582.140
88,682.345
89,782.374
90,817.307
91,858.043
92,899.752
93,921.506
94,973.107
95,984.943
96,998.981
97,1021.676
98,1045.322
99,1339.805
100,1617.346
