starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:50:09 2024	1718545809	26	164	190	164
Sun Jun 16 13:50:09 2024	1718545809	26	165	191	165
Sun Jun 16 13:50:09 2024	1718545809	26	165	191	165
Sun Jun 16 13:50:09 2024	1718545809	27	165	192	165
Sun Jun 16 13:50:09 2024	1718545809	27	166	192	166
Sun Jun 16 13:50:09 2024	1718545809	27	166	193	166
Sun Jun 16 13:50:09 2024	1718545809	27	167	194	167
Sun Jun 16 13:50:09 2024	1718545809	27	167	194	167
Sun Jun 16 13:50:09 2024	1718545809	27	168	195	168
Sun Jun 16 13:50:09 2024	1718545809	27	168	195	168
Sun Jun 16 13:50:09 2024	1718545809	27	169	196	169
Sun Jun 16 13:50:09 2024	1718545809	27	169	196	169
Sun Jun 16 13:50:09 2024	1718545809	28	169	197	169
Sun Jun 16 13:50:09 2024	1718545809	28	170	197	170
Sun Jun 16 13:50:09 2024	1718545809	28	170	198	170
Sun Jun 16 13:50:09 2024	1718545809	28	171	199	171
Sun Jun 16 13:50:09 2024	1718545809	28	171	199	171
Sun Jun 16 13:50:09 2024	1718545809	28	172	200	172
Sun Jun 16 13:50:09 2024	1718545809	28	172	200	172
Sun Jun 16 13:50:09 2024	1718545809	28	172	200	172
Sun Jun 16 13:50:09 2024	1718545809	28	172	201	172
Sun Jun 16 13:50:09 2024	1718545809	28	173	201	173
Sun Jun 16 13:50:09 2024	1718545809	29	173	202	173
Sun Jun 16 13:50:09 2024	1718545809	29	173	202	173
Sun Jun 16 13:50:09 2024	1718545809	29	173	202	173
Sun Jun 16 13:50:09 2024	1718545809	29	174	203	174
Sun Jun 16 13:50:09 2024	1718545809	29	174	203	174
Sun Jun 16 13:50:09 2024	1718545809	29	174	204	174
Sun Jun 16 13:50:09 2024	1718545809	29	175	204	175
Sun Jun 16 13:50:09 2024	1718545809	29	175	204	175
Sun Jun 16 13:50:09 2024	1718545809	29	175	205	175
Sun Jun 16 13:50:09 2024	1718545809	29	176	205	176
Sun Jun 16 13:50:09 2024	1718545809	30	176	206	176
Sun Jun 16 13:50:09 2024	1718545809	30	176	206	176
Sun Jun 16 13:50:09 2024	1718545809	30	177	206	177
Sun Jun 16 13:50:09 2024	1718545809	30	177	207	177
Sun Jun 16 13:50:09 2024	1718545809	30	177	207	177
Sun Jun 16 13:50:09 2024	1718545809	30	178	208	177
Sun Jun 16 13:50:09 2024	1718545809	30	178	208	178
Sun Jun 16 13:50:09 2024	1718545809	30	178	208	178
Sun Jun 16 13:50:09 2024	1718545809	30	178	209	178
Sun Jun 16 13:50:09 2024	1718545809	31	179	209	179
Sun Jun 16 13:50:09 2024	1718545809	31	179	210	179
Sun Jun 16 13:50:09 2024	1718545809	31	179	210	179
Sun Jun 16 13:50:09 2024	1718545809	31	180	210	180
Sun Jun 16 13:50:09 2024	1718545809	31	180	211	180
Sun Jun 16 13:50:09 2024	1718545809	31	180	212	180
Sun Jun 16 13:50:09 2024	1718545809	31	181	212	181
Sun Jun 16 13:50:09 2024	1718545809	31	181	212	181
Sun Jun 16 13:50:09 2024	1718545809	32	181	213	181
Sun Jun 16 13:50:09 2024	1718545809	32	181	213	181
Sun Jun 16 13:50:09 2024	1718545809	32	182	213	182
Sun Jun 16 13:50:09 2024	1718545809	32	182	214	182
Sun Jun 16 13:50:09 2024	1718545809	32	182	214	182
Sun Jun 16 13:50:09 2024	1718545809	32	182	215	182
Sun Jun 16 13:50:09 2024	1718545809	32	183	215	183
Sun Jun 16 13:50:09 2024	1718545809	32	183	215	183
Sun Jun 16 13:50:09 2024	1718545809	33	183	216	183
Sun Jun 16 13:50:09 2024	1718545809	33	183	216	183
Sun Jun 16 13:50:09 2024	1718545809	33	184	217	184
Sun Jun 16 13:50:09 2024	1718545809	33	184	217	184
Sun Jun 16 13:50:09 2024	1718545809	33	184	217	184
Sun Jun 16 13:50:09 2024	1718545809	33	185	218	185
Sun Jun 16 13:50:09 2024	1718545809	33	185	218	185
Sun Jun 16 13:50:09 2024	1718545809	33	185	218	185
Sun Jun 16 13:50:09 2024	1718545809	33	186	219	185
Sun Jun 16 13:50:09 2024	1718545809	34	186	220	186
Sun Jun 16 13:50:09 2024	1718545809	34	186	220	186
Sun Jun 16 13:50:09 2024	1718545809	34	187	221	187
Sun Jun 16 13:50:09 2024	1718545809	34	187	221	187
Sun Jun 16 13:50:09 2024	1718545809	34	188	222	188
Sun Jun 16 13:50:09 2024	1718545809	34	188	222	188
Sun Jun 16 13:50:09 2024	1718545809	34	188	223	188
Sun Jun 16 13:50:09 2024	1718545809	34	189	223	189
Sun Jun 16 13:50:09 2024	1718545809	35	189	224	189
Sun Jun 16 13:50:09 2024	1718545809	35	190	224	190
Sun Jun 16 13:50:09 2024	1718545809	35	190	225	190
Sun Jun 16 13:50:09 2024	1718545809	35	191	226	191
Sun Jun 16 13:50:09 2024	1718545809	35	191	226	191
Sun Jun 16 13:50:09 2024	1718545809	35	191	227	191
Sun Jun 16 13:50:09 2024	1718545809	35	192	227	192
Sun Jun 16 13:50:09 2024	1718545809	35	192	227	192
Sun Jun 16 13:50:09 2024	1718545809	36	192	228	192
Sun Jun 16 13:50:09 2024	1718545809	36	193	228	193
Sun Jun 16 13:50:09 2024	1718545809	36	193	229	193
Sun Jun 16 13:50:09 2024	1718545809	36	193	229	193
Sun Jun 16 13:50:09 2024	1718545809	36	193	229	193
Sun Jun 16 13:50:09 2024	1718545809	36	194	230	194
Sun Jun 16 13:50:09 2024	1718545809	36	194	230	194
Sun Jun 16 13:50:09 2024	1718545809	36	194	231	194
Sun Jun 16 13:50:09 2024	1718545809	36	195	231	195
Sun Jun 16 13:50:09 2024	1718545809	37	195	232	195
Sun Jun 16 13:50:09 2024	1718545809	37	196	232	196
Sun Jun 16 13:50:09 2024	1718545809	37	196	233	196
Sun Jun 16 13:50:09 2024	1718545809	37	196	233	196
Sun Jun 16 13:50:09 2024	1718545809	37	197	234	197
Sun Jun 16 13:50:09 2024	1718545809	37	197	234	197
Sun Jun 16 13:50:09 2024	1718545809	37	197	234	197
Sun Jun 16 13:50:09 2024	1718545809	37	197	235	197
Sun Jun 16 13:50:09 2024	1718545809	37	198	235	198
Sun Jun 16 13:50:09 2024	1718545809	38	198	235	198
Sun Jun 16 13:50:09 2024	1718545809	38	198	236	198
Sun Jun 16 13:50:09 2024	1718545809	38	198	236	198
Sun Jun 16 13:50:09 2024	1718545809	38	199	237	199
Sun Jun 16 13:50:09 2024	1718545809	38	199	237	199
Sun Jun 16 13:50:09 2024	1718545809	39	201	239	201
Sun Jun 16 13:50:09 2024	1718545809	39	201	240	201
Sun Jun 16 13:50:09 2024	1718545809	39	201	240	201
Sun Jun 16 13:50:09 2024	1718545809	39	201	240	201
Sun Jun 16 13:50:09 2024	1718545809	39	202	241	202
Sun Jun 16 13:50:09 2024	1718545809	39	202	241	202
Sun Jun 16 13:50:09 2024	1718545809	39	202	242	202
Sun Jun 16 13:50:09 2024	1718545809	40	202	242	202
Sun Jun 16 13:50:09 2024	1718545809	40	203	242	203
Sun Jun 16 13:50:09 2024	1718545809	40	203	243	203
Sun Jun 16 13:50:09 2024	1718545809	40	203	243	203
Sun Jun 16 13:50:09 2024	1718545809	40	204	244	204
Sun Jun 16 13:50:09 2024	1718545809	40	204	244	204
