starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:49:30 2024	1718545770	8	72	80	72
Sun Jun 16 13:49:30 2024	1718545770	8	73	81	73
Sun Jun 16 13:49:30 2024	1718545770	8	75	83	75
Sun Jun 16 13:49:30 2024	1718545770	8	76	84	76
Sun Jun 16 13:49:30 2024	1718545770	8	77	85	77
Sun Jun 16 13:49:30 2024	1718545770	8	78	86	78
Sun Jun 16 13:49:30 2024	1718545770	8	79	87	79
Sun Jun 16 13:49:30 2024	1718545770	8	81	88	81
Sun Jun 16 13:49:30 2024	1718545770	8	82	89	82
Sun Jun 16 13:49:30 2024	1718545770	8	83	90	83
Sun Jun 16 13:49:29 2024	1718545769	55	36	91	29
Sun Jun 16 13:49:30 2024	1718545770	8	84	92	84
Sun Jun 16 13:49:30 2024	1718545770	8	85	93	85
Sun Jun 16 13:49:30 2024	1718545770	8	86	94	86
Sun Jun 16 13:49:30 2024	1718545770	8	87	95	87
Sun Jun 16 13:49:30 2024	1718545770	8	88	96	88
Sun Jun 16 13:49:30 2024	1718545770	8	90	98	90
Sun Jun 16 13:49:30 2024	1718545770	8	92	100	92
Sun Jun 16 13:49:30 2024	1718545770	8	95	102	95
Sun Jun 16 13:49:30 2024	1718545770	8	98	106	98
Sun Jun 16 13:49:30 2024	1718545770	8	101	109	101
Sun Jun 16 13:49:30 2024	1718545770	8	104	112	104
Sun Jun 16 13:49:30 2024	1718545770	8	107	115	107
Sun Jun 16 13:49:30 2024	1718545770	8	110	118	110
Sun Jun 16 13:49:30 2024	1718545770	8	112	120	112
Sun Jun 16 13:49:30 2024	1718545770	8	112	120	112
Sun Jun 16 13:49:30 2024	1718545770	8	112	120	112
Sun Jun 16 13:49:30 2024	1718545770	8	112	120	112
Sun Jun 16 13:49:30 2024	1718545770	8	112	121	112
Sun Jun 16 13:49:30 2024	1718545770	8	112	121	112
Sun Jun 16 13:49:30 2024	1718545770	8	113	121	112
Sun Jun 16 13:49:30 2024	1718545770	9	113	121	113
Sun Jun 16 13:49:30 2024	1718545770	9	112	121	112
Sun Jun 16 13:49:30 2024	1718545770	9	112	122	112
Sun Jun 16 13:49:30 2024	1718545770	9	113	122	113
Sun Jun 16 13:49:30 2024	1718545770	9	113	122	113
Sun Jun 16 13:49:30 2024	1718545770	9	113	122	113
Sun Jun 16 13:49:30 2024	1718545770	9	113	122	113
Sun Jun 16 13:49:30 2024	1718545770	9	113	123	113
Sun Jun 16 13:49:30 2024	1718545770	10	113	123	113
Sun Jun 16 13:49:30 2024	1718545770	10	113	123	113
Sun Jun 16 13:49:30 2024	1718545770	10	114	123	114
Sun Jun 16 13:49:30 2024	1718545770	10	114	123	114
Sun Jun 16 13:49:30 2024	1718545770	10	114	124	114
Sun Jun 16 13:49:30 2024	1718545770	11	113	124	113
Sun Jun 16 13:49:30 2024	1718545770	11	113	124	113
Sun Jun 16 13:49:30 2024	1718545770	11	113	124	113
Sun Jun 16 13:49:30 2024	1718545770	11	113	124	113
Sun Jun 16 13:49:30 2024	1718545770	11	114	124	114
Sun Jun 16 13:49:30 2024	1718545770	11	114	125	114
Sun Jun 16 13:49:30 2024	1718545770	11	114	125	114
Sun Jun 16 13:49:30 2024	1718545770	11	114	125	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	125	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	125	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	126	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	126	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	126	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	126	114
Sun Jun 16 13:49:30 2024	1718545770	12	114	126	114
Sun Jun 16 13:49:30 2024	1718545770	12	115	127	115
Sun Jun 16 13:49:30 2024	1718545770	13	114	127	114
Sun Jun 16 13:49:30 2024	1718545770	13	114	127	114
Sun Jun 16 13:49:30 2024	1718545770	13	114	127	114
Sun Jun 16 13:49:30 2024	1718545770	13	115	127	115
Sun Jun 16 13:49:30 2024	1718545770	13	115	128	115
Sun Jun 16 13:49:30 2024	1718545770	13	115	128	115
Sun Jun 16 13:49:30 2024	1718545770	13	115	128	115
Sun Jun 16 13:49:30 2024	1718545770	13	115	128	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	128	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	129	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	129	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	129	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	129	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	129	115
Sun Jun 16 13:49:30 2024	1718545770	14	115	130	115
Sun Jun 16 13:49:30 2024	1718545770	14	116	130	116
Sun Jun 16 13:49:30 2024	1718545770	15	115	130	115
Sun Jun 16 13:49:30 2024	1718545770	15	115	130	115
Sun Jun 16 13:49:30 2024	1718545770	15	115	130	115
