Percentage served,Time in ms
0,102.252
1,107.140
2,112.115
3,116.950
4,121.836
5,126.726
6,131.475
7,135.997
8,140.707
9,145.558
10,150.353
11,155.221
12,160.001
13,164.828
14,169.729
15,174.613
16,179.506
17,184.294
18,185.976
19,187.733
20,189.876
21,191.961
22,194.246
23,195.833
24,197.288
25,199.567
26,201.033
27,201.223
28,201.331
29,201.479
30,201.631
31,202.347
32,204.478
33,204.669
34,204.744
35,204.797
36,204.832
37,204.849
38,204.876
39,204.917
40,204.958
41,204.990
42,205.003
43,205.026
44,205.069
45,205.129
46,205.253
47,205.417
48,205.521
49,205.592
50,205.865
51,206.145
52,206.351
53,206.452
54,206.608
55,206.782
56,206.901
57,206.971
58,207.337
59,207.469
60,207.529
61,207.617
62,207.677
63,207.766
64,207.906
65,208.014
66,208.080
67,211.318
68,211.741
69,211.833
70,212.274
71,212.654
72,212.829
73,212.905
74,213.040
75,213.077
76,213.159
77,213.210
78,213.245
79,213.301
80,213.358
81,213.509
82,214.285
83,214.375
84,214.544
85,355.038
86,384.796
87,397.679
88,439.795
89,474.123
90,549.157
91,581.691
92,609.609
93,627.306
94,762.770
95,816.387
96,826.953
97,848.497
98,869.021
99,878.424
100,894.288
