Percentage served,Time in ms
0,8.114
1,11.055
2,23.646
3,37.823
4,52.483
5,70.220
6,71.723
7,72.971
8,74.669
9,75.805
10,76.845
11,77.470
12,78.260
13,78.996
14,79.719
15,80.342
16,81.087
17,81.896
18,82.574
19,83.490
20,84.243
21,85.183
22,85.868
23,86.705
24,87.256
25,87.647
26,87.866
27,88.110
28,88.217
29,88.227
30,88.240
31,88.254
32,88.384
33,88.676
34,88.780
35,89.011
36,89.086
37,89.172
38,89.206
39,89.236
40,89.407
41,89.440
42,89.495
43,89.518
44,89.547
45,89.574
46,89.584
47,89.605
48,89.636
49,89.649
50,89.663
51,89.673
52,89.684
53,89.709
54,89.721
55,89.731
56,89.744
57,89.759
58,89.797
59,89.812
60,89.854
61,89.881
62,89.930
63,89.941
64,89.954
65,89.964
66,89.991
67,90.012
68,90.044
69,90.099
70,90.127
71,90.146
72,90.197
73,90.222
74,90.260
75,90.303
76,90.343
77,90.382
78,90.403
79,90.450
80,90.476
81,90.765
82,91.840
83,93.721
84,95.463
85,97.401
86,99.042
87,100.911
88,102.537
89,104.232
90,105.971
91,107.681
92,109.361
93,110.780
94,270.181
95,271.665
96,290.365
97,332.686
98,344.635
99,406.745
100,408.182
