starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:48:47 2024	1718545727	12	200	213	200
Sun Jun 16 13:48:47 2024	1718545727	13	201	213	201
Sun Jun 16 13:48:47 2024	1718545727	13	201	214	201
Sun Jun 16 13:48:47 2024	1718545727	13	201	214	201
Sun Jun 16 13:48:47 2024	1718545727	13	202	215	202
Sun Jun 16 13:48:47 2024	1718545727	13	202	215	202
Sun Jun 16 13:48:47 2024	1718545727	13	202	215	202
Sun Jun 16 13:48:47 2024	1718545727	13	203	216	203
Sun Jun 16 13:48:47 2024	1718545727	13	203	216	203
Sun Jun 16 13:48:47 2024	1718545727	13	203	217	203
Sun Jun 16 13:48:47 2024	1718545727	14	204	217	204
Sun Jun 16 13:48:47 2024	1718545727	14	204	218	204
Sun Jun 16 13:48:47 2024	1718545727	14	204	218	204
Sun Jun 16 13:48:47 2024	1718545727	14	205	219	205
Sun Jun 16 13:48:47 2024	1718545727	14	205	219	205
Sun Jun 16 13:48:47 2024	1718545727	14	205	220	205
Sun Jun 16 13:48:47 2024	1718545727	14	206	220	206
Sun Jun 16 13:48:47 2024	1718545727	14	206	220	206
Sun Jun 16 13:48:47 2024	1718545727	15	206	221	206
Sun Jun 16 13:48:47 2024	1718545727	15	207	221	207
Sun Jun 16 13:48:47 2024	1718545727	15	207	222	207
Sun Jun 16 13:48:47 2024	1718545727	15	207	222	207
Sun Jun 16 13:48:47 2024	1718545727	15	208	223	208
Sun Jun 16 13:48:47 2024	1718545727	15	208	223	208
Sun Jun 16 13:48:47 2024	1718545727	15	208	224	208
Sun Jun 16 13:48:47 2024	1718545727	15	209	224	209
Sun Jun 16 13:48:47 2024	1718545727	15	209	224	209
Sun Jun 16 13:48:47 2024	1718545727	16	209	225	209
Sun Jun 16 13:48:47 2024	1718545727	16	210	225	210
Sun Jun 16 13:48:47 2024	1718545727	16	210	226	210
Sun Jun 16 13:48:47 2024	1718545727	16	211	227	211
Sun Jun 16 13:48:47 2024	1718545727	16	211	227	211
Sun Jun 16 13:48:47 2024	1718545727	17	211	227	211
Sun Jun 16 13:48:47 2024	1718545727	17	211	228	211
Sun Jun 16 13:48:47 2024	1718545727	17	211	228	211
Sun Jun 16 13:48:47 2024	1718545727	17	212	229	212
Sun Jun 16 13:48:47 2024	1718545727	17	212	229	212
Sun Jun 16 13:48:46 2024	1718545726	143	86	229	78
Sun Jun 16 13:48:47 2024	1718545727	17	212	229	212
Sun Jun 16 13:48:47 2024	1718545727	17	213	230	213
Sun Jun 16 13:48:47 2024	1718545727	17	213	230	213
Sun Jun 16 13:48:47 2024	1718545727	19	212	231	212
Sun Jun 16 13:48:47 2024	1718545727	19	213	231	213
Sun Jun 16 13:48:47 2024	1718545727	19	213	232	213
Sun Jun 16 13:48:47 2024	1718545727	19	213	232	213
Sun Jun 16 13:48:47 2024	1718545727	19	214	233	214
Sun Jun 16 13:48:47 2024	1718545727	21	214	235	214
Sun Jun 16 13:48:47 2024	1718545727	21	214	235	214
Sun Jun 16 13:48:47 2024	1718545727	21	215	235	215
Sun Jun 16 13:48:47 2024	1718545727	21	215	236	215
Sun Jun 16 13:48:47 2024	1718545727	21	215	236	215
Sun Jun 16 13:48:47 2024	1718545727	21	216	237	216
Sun Jun 16 13:48:47 2024	1718545727	21	216	237	216
Sun Jun 16 13:48:47 2024	1718545727	21	216	238	216
Sun Jun 16 13:48:47 2024	1718545727	23	216	238	216
Sun Jun 16 13:48:47 2024	1718545727	23	216	239	216
Sun Jun 16 13:48:47 2024	1718545727	23	216	239	216
Sun Jun 16 13:48:47 2024	1718545727	23	217	240	217
