Percentage served,Time in ms
0,176.239
1,186.373
2,196.614
3,210.929
4,220.535
5,230.524
6,240.181
7,250.166
8,260.512
9,270.436
10,280.320
11,290.187
12,300.283
13,310.785
14,320.937
15,331.205
16,341.900
17,351.976
18,362.291
19,371.991
20,404.223
21,413.866
22,420.149
23,421.119
24,421.231
25,421.351
26,421.423
27,421.544
28,421.629
29,421.727
30,421.843
31,421.920
32,421.985
33,422.128
34,422.233
35,422.342
36,422.488
37,422.560
38,422.800
39,423.037
40,423.397
41,423.653
42,423.812
43,424.007
44,424.139
45,424.234
46,424.341
47,424.647
48,424.881
49,425.202
50,425.271
51,425.437
52,425.708
53,427.947
54,428.289
55,428.752
56,432.062
57,433.529
58,434.360
59,435.001
60,435.594
61,435.864
62,436.322
63,436.548
64,436.958
65,437.675
66,438.484
67,439.207
68,439.922
69,440.498
70,441.171
71,441.711
72,442.245
73,442.843
74,444.029
75,445.607
76,446.665
77,447.257
78,447.997
79,448.755
80,451.163
81,561.507
82,658.064
83,711.906
84,802.272
85,905.340
86,956.314
87,970.276
88,985.044
89,1006.884
90,1028.714
91,1051.793
92,1062.857
93,1072.872
94,1088.946
95,1123.654
96,1190.992
97,1364.482
98,1655.105
99,1748.114
100,1812.066
