Percentage served,Time in ms
0,29.055
1,52.899
2,53.792
3,54.659
4,54.998
5,55.033
6,55.191
7,55.853
8,57.079
9,57.727
10,58.242
11,58.477
12,58.864
13,59.653
14,61.748
15,62.010
16,62.131
17,62.536
18,62.781
19,62.928
20,64.221
21,64.264
22,65.603
23,65.642
24,65.661
25,65.676
26,65.698
27,65.730
28,68.939
29,73.133
30,73.613
31,73.705
32,73.755
33,73.815
34,73.888
35,74.028
36,74.103
37,74.165
38,74.500
39,74.643
40,75.144
41,75.756
42,76.493
43,77.210
44,78.282
45,78.886
46,79.676
47,79.709
48,79.806
49,80.026
50,81.904
51,83.550
52,83.651
53,84.961
54,85.264
55,85.457
56,85.515
57,85.666
58,85.846
59,85.978
60,86.125
61,86.375
62,88.652
63,88.800
64,88.929
65,89.109
66,92.917
67,93.747
68,94.494
69,95.295
70,95.959
71,96.418
72,96.841
73,97.178
74,97.540
75,98.002
76,98.474
77,98.957
78,99.431
79,99.921
80,100.345
81,100.793
82,101.346
83,102.063
84,102.733
85,103.124
86,103.530
87,104.309
88,105.159
89,105.985
90,106.834
91,107.644
92,108.409
93,109.224
94,110.009
95,245.688
96,313.445
97,314.756
98,315.995
99,317.269
100,318.516
