starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:50:14 2024	1718545814	22	21	43	21
Sun Jun 16 13:50:15 2024	1718545815	22	23	45	23
Sun Jun 16 13:50:15 2024	1718545815	15	30	45	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	16	30	46	30
Sun Jun 16 13:50:15 2024	1718545815	28	25	53	25
Sun Jun 16 13:50:15 2024	1718545815	22	35	57	35
Sun Jun 16 13:50:15 2024	1718545815	22	35	57	35
Sun Jun 16 13:50:15 2024	1718545815	22	35	57	35
Sun Jun 16 13:50:15 2024	1718545815	22	35	57	35
Sun Jun 16 13:50:15 2024	1718545815	22	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	23	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	33	57	33
Sun Jun 16 13:50:15 2024	1718545815	24	34	57	34
Sun Jun 16 13:50:15 2024	1718545815	24	33	57	33
Sun Jun 16 13:50:14 2024	1718545814	25	32	58	32
Sun Jun 16 13:50:15 2024	1718545815	24	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	24	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	24	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
Sun Jun 16 13:50:15 2024	1718545815	25	33	58	33
