Percentage served,Time in ms
0,9.658
1,16.988
2,24.718
3,33.474
4,43.890
5,55.071
6,67.526
7,77.158
8,81.114
9,84.922
10,88.956
11,92.858
12,97.727
13,102.288
14,106.439
15,110.514
16,115.206
17,119.605
18,124.052
19,128.126
20,132.540
21,136.226
22,137.630
23,139.496
24,140.297
25,140.960
26,141.435
27,142.315
28,142.449
29,142.509
30,142.547
31,142.630
32,142.759
33,143.187
34,143.393
35,143.473
36,143.527
37,144.541
38,144.632
39,144.695
40,144.811
41,144.868
42,144.996
43,145.244
44,145.429
45,146.172
46,146.635
47,146.818
48,147.966
49,148.576
50,148.734
51,149.051
52,149.259
53,149.492
54,149.715
55,149.838
56,149.937
57,150.013
58,150.144
59,150.204
60,150.319
61,150.351
62,150.379
63,150.445
64,150.517
65,150.653
66,150.745
67,150.783
68,150.809
69,150.844
70,151.171
71,151.620
72,151.806
73,151.908
74,152.014
75,152.167
76,152.323
77,152.484
78,152.705
79,152.878
80,153.131
81,153.301
82,153.411
83,153.610
84,153.823
85,154.130
86,154.402
87,300.380
88,311.755
89,320.475
90,337.901
91,352.773
92,406.546
93,448.775
94,597.437
95,665.040
96,683.236
97,684.537
98,685.935
99,687.241
100,688.474
